Label,Temperature_C,PointCount,ValidCount,InvalidCount,MeanBestRa,MeanBestWhiteRatio,MeanDeltaWhiteRatio_From25C,MeanAbsDeltaWhiteRatio_From25C,P95AbsDeltaWhiteRatio_From25C,MaxAbsDeltaWhiteRatio_From25C,MeanDeltaRa_From25C,MeanAbsDeltaRa_From25C,P95AbsDeltaRa_From25C,MaxAbsDeltaRa_From25C
T25,21.4,990,990,0,36.3739510279229,0.299005255584098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T45,43,990,930,60,38.5989570116433,0.318115498893055,-0.000180418341630448,0.00570112623556948,0.0185461496061016,0.0337648642952095,-1.67075150525584,2.34631120333919,6.39106226234934,20.833700066602
T60,60,990,928,62,37.3224601961154,0.317618196873019,-0.00136370294191362,0.0104701443433597,0.0332764833799331,0.0626512159719846,-3.17947902704014,4.18635609566636,11.4051006017356,34.5556519897985
T80,80,990,916,74,35.944889898902,0.320753786846445,-0.00240691514946899,0.0157798992996399,0.0476940942292464,0.0933213919435595,-5.00321837848343,6.23377131044384,17.1433164455265,45.8395385836782
T100,100,990,906,84,34.079262201545,0.319915719903275,-0.00681187725815738,0.022653703759737,0.0653683132753937,0.146725811767379,-7.36925276634868,8.66924165173207,23.9307533197913,53.5140941242879
