GridI,GridJ,GridK,Target_x,Target_y,Target_Y_lm,Target_u1976,Target_v1976,Best_Ra,Best_Rmin_8,Best_Worst_R,Best_RayT,Best_SingleWhiteRatio,Best_RGBWhiteRatio,Best_RGBPoint_x,Best_RGBPoint_y,Best_RGBPoint_Y_lm,Best_RGBPoint_u1976,Best_RGBPoint_v1976,Best_R_weight,Best_G_weight,Best_B_weight,Mix_x,Mix_y,Mix_Y_lm,Mix_CCT_K,BoundaryEdge,Valid
0,0,43,0.1521,0.0284,4,0.200355660936574,0.0841730883224659,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,1,42,0.151748837209302,0.0441790697674419,4,0.18811929713289,0.123227336283569,-36.461900501886,-117.508113727692,R3,1,0,1,0.151748837209302,0.0441790697674418,4,0.18811929713289,0.123227336283568,0.0365034822138147,0.266348388593976,3.20261056395699,0.151813672933398,0.0439661119152402,4,24999.9994413748,,1
0,2,41,0.151397674418605,0.0599581395348837,4,0.177244208001459,0.157936865548312,-21.7026122684772,-86.0929563366763,R4,1,0,1,0.151397674418605,0.0599581395348837,4,0.177244208001459,0.157936865548312,0.0205863951666624,0.446509714564958,2.30405431461794,0.151448704094542,0.0596779952042265,4,24999.9994413748,,1
0,3,40,0.151046511627907,0.0757372093023256,4,0.16751520403584,0.188988486714845,-9.86087691091882,-73.2360578276774,R4,1,0,1,0.151046511627907,0.0757372093023256,4,0.16751520403584,0.188988486714845,0.0113016313678848,0.551601516372639,1.77990799875545,0.151083626684317,0.0753945524830736,4,24999.9994413748,,1
0,4,39,0.150695348837209,0.0915162790697674,4,0.158760181450008,0.21693149563954,-1.08822661764608,-61.9692169248896,R4,1,0,1,0.150695348837209,0.0915162790697674,4,0.158760181450008,0.21693149563954,0.00521859161742579,0.620453844950745,1.43650638471888,0.150718440654272,0.0911157858377281,4,24999.9994413748,,1
0,5,38,0.150344186046512,0.107295348837209,4,0.150839852818681,0.242210449686995,5.2250696556229,-52.6965305488894,R4,1,0,1,0.150344186046512,0.107295348837209,4,0.150839852818681,0.242210449686995,0.000924719983959392,0.669055049727891,1.19410743454161,0.150353145955922,0.106841697355378,4,24999.9994413748,,1
0,6,37,0.149993023255814,0.123074418604651,4,0.143640281280796,0.265188995974544,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,7,36,0.149641860465116,0.138853488372093,4,0.137067364223514,0.286167477548099,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,8,35,0.149290697674419,0.154632558139535,4,0.131042697321887,0.305396133939334,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,9,34,0.148939534883721,0.170411627906977,4,0.125500432091145,0.323085130773708,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,10,33,0.148588372093023,0.186190697674419,4,0.120384859238854,0.339412272875865,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,11,32,0.148237209302326,0.20196976744186,4,0.115648529491808,0.354529001941325,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,12,31,0.147886046511628,0.217748837209302,4,0.111250777422343,0.368565107973139,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,13,30,0.14753488372093,0.233527906976744,4,0.107156550923854,0.381632465191857,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,14,29,0.147183720930233,0.249306976744186,4,0.103335474964549,0.39382802021025,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,15,28,0.146832558139535,0.265086046511628,4,0.0997610966800023,0.405236201437212,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,16,27,0.146481395348837,0.28086511627907,4,0.0964102721091039,0.415930876404838,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,17,26,0.14613023255814,0.296644186046512,4,0.0932626645076163,0.425976952978317,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,18,25,0.145779069767442,0.312423255813953,4,0.0903003312524714,0.435431697814771,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,19,24,0.145427906976744,0.328202325581395,4,0.0875073816074132,0.444345828657149,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,20,23,0.145076744186047,0.343981395348837,4,0.0848696915628918,0.452764424466818,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,21,22,0.144725581395349,0.359760465116279,4,0.082374664945895,0.460727687878487,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,22,21,0.144374418604651,0.375539534883721,4,0.0800110322713268,0.468271587197152,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,23,20,0.144023255813953,0.391318604651163,4,0.0777686805569508,0.475428399570031,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,24,19,0.143672093023256,0.407097674418605,4,0.0756385086802654,0.482227172637467,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,25,18,0.143320930232558,0.422876744186046,4,0.0736123039141325,0.488694118588576,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,26,17,0.14296976744186,0.438655813953488,4,0.0716826361094998,0.49485295189345,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,27,16,0.142618604651163,0.45443488372093,4,0.0698427666509502,0.500725179885611,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,28,15,0.142267441860465,0.470213953488372,4,0.0680865698336707,0.506330353699574,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,29,14,0.141916279069767,0.485993023255814,4,0.0664084647286649,0.511686285733563,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,30,13,0.14156511627907,0.501772093023256,4,0.0648033559394028,0.516809238733826,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,31,12,0.141213953488372,0.517551162790698,4,0.0632665819250245,0.521714090729125,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,32,11,0.140862790697674,0.533330232558139,4,0.0617938697861327,0.526414479338877,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,33,10,0.140511627906977,0.549109302325581,4,0.0603812955895271,0.530922928402894,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,34,9,0.140160465116279,0.564888372093023,4,0.0590252494560861,0.535250959408817,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,35,8,0.139809302325581,0.580667441860465,4,0.0577224047577441,0.539409189804724,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,36,7,0.139458139534884,0.596446511627907,4,0.0564696908701824,0.543407419963133,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,37,6,0.139106976744186,0.612225581395349,4,0.055264269011413,0.547254710295899,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,38,5,0.138755813953488,0.628004651162791,4,0.0541035107660682,0.550959449797265,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,39,4,0.138404651162791,0.643783720930233,4,0.0529849789534412,0.554529417106472,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,40,3,0.138053488372093,0.659562790697674,4,0.0519064105461921,0.557971835025351,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,41,2,0.137702325581395,0.675341860465116,4,0.0508657013877853,0.561293419294983,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,42,1,0.137351162790698,0.691120930232558,4,0.049860892491487,0.564500422324571,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,43,0,0.137,0.7069,4,0.0488901577332096,0.567598672471629,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
1,0,42,0.1649,0.0346395348837209,4,0.213748166815633,0.101026733970093,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
1,1,41,0.164548837209302,0.0504186046511628,4,0.200918895281149,0.138515796707197,-18.8365109023891,-142.937945621883,R3,1,0,0.999999999999999,0.164548837209302,0.0504186046511628,4,0.200918895281149,0.138515796707197,0.313130963061644,0.238318556986013,2.73932838295622,0.164566737789681,0.0501802507691667,4,24999.9994413748,,1
1,2,40,0.164197674418605,0.0661976744186046,4,0.189496567966344,0.171893556633588,9.15076175365487,-80.628323573207,R3,1,0,1,0.164197674418605,0.0661976744186046,4,0.189496567966344,0.171893556633588,0.232776429571315,0.408179850281073,2.03589582991322,0.164203631693129,0.0658945241968771,4,24999.9994413748,,1
1,3,39,0.163846511627907,0.0819767441860465,4,0.179261773483995,0.20180116685283,23.1103348216577,-40.1567270635695,R3,1,0,1,0.163846511627907,0.0819767441860465,4,0.179261773483995,0.20180116685283,0.18335554202322,0.512650569107652,1.603259865375,0.163840417569262,0.0816134727616772,4,24999.9994413748,,1
1,4,38,0.163495348837209,0.0977558139534884,4,0.170038468654879,0.228753052036081,31.225080034351,-11.7641755946223,R3,1,0,1,0.163495348837209,0.0977558139534884,4,0.170038468654879,0.228753052036081,0.149889012605912,0.583395401066699,1.31029013228161,0.163477095369863,0.0973370985502202,4,24999.9994413748,,1
1,5,37,0.163144186046512,0.11353488372093,4,0.161683768011727,0.253166745028625,36.1848288654535,-5.38549238795008,R4,1,0,1,0.163144186046512,0.11353488372093,4,0.161683768011727,0.253166745028625,0.125724834769778,0.634476009967896,1.09875422299153,0.163113665046687,0.113065403650401,4,24999.9994413748,,1
1,6,36,0.162793023255814,0.129313953488372,4,0.154080488296103,0.275384672952327,39.0305971761592,-2.7393194259754,R4,1,0,1,0.162793023255814,0.129313953488372,4,0.154080488296103,0.275384672952327,0.107457750598536,0.673090763949765,0.938842129708393,0.162750126551462,0.128798390151358,4,24999.9994413748,,1
1,7,35,0.162441860465116,0.145093023255814,4,0.147131618026519,0.295690317960168,40.4513527311641,-0.649999240615486,R4,1,0,1,0.162441860465116,0.145093023255814,4,0.147131618026519,0.295690317960168,0.0931638084725532,0.703306700628637,0.813711365257638,0.162386479835886,0.144536060143473,4,24999.9994413748,,1
1,8,34,0.162090697674419,0.160872093023256,4,0.140756156150698,0.314320377320768,41.0260768664681,1.04973819688539,R4,1,0,1,0.162090697674419,0.160872093023256,4,0.140756156150698,0.314320377320768,0.0816738966270131,0.727595203108271,0.71312739478732,0.162022724851627,0.160278415718372,4,24999.9994413748,,1
1,9,33,0.161739534883721,0.176651162790698,4,0.134885940039488,0.331474032497682,41.151334424555,2.47137072484436,R4,1,0,1,0.161739534883721,0.176651162790698,4,0.134885940039488,0.331474032497682,0.0722366191119623,0.747544645837396,0.630512414302287,0.161658861550327,0.176025458968927,4,24999.9994413748,,1
1,10,32,0.161388372093023,0.19243023255814,4,0.129463198867988,0.347320098538066,41.0468643103365,3.69047993675225,R4,1,0,1,0.161388372093023,0.19243023255814,4,0.129463198867988,0.347320098538066,0.0643470345799223,0.764222423356125,0.561446110899638,0.161294889883597,0.191777191989258,4,24999.9994413748,,1
1,11,31,0.161037209302326,0.208209302325581,4,0.124438645957442,0.36200259853684,40.8253744753785,4.75909723107844,R4,1,0,1,0.161037209302326,0.208209302325581,4,0.124438645957442,0.36200259853684,0.0576532689030124,0.778372361704418,0.502848139197804,0.16093080980302,0.20753361687473,4,24999.9994413748,,1
