index,name,R_hex,G_hex,B_hex,R,G,B,x,y
124,蓝色 124,5F,7C,DF,95,124,223,0.2463,0.1913
125,蓝色 125,3A,45,AF,58,69,175,0.2317,0.1638
126,蓝色 126,32,38,B9,50,56,185,0.2207,0.1445
127,蓝色 127,2D,2E,C0,45,46,192,0.2134,0.1310
128,蓝色 128,25,22,B7,37,34,183,0.2066,0.1186
129,橙色 129,B5,D1,01,181,209,1,0.4615,0.4747
130,橙色 130,B7,D0,05,183,208,5,0.4569,0.4647
131,橙色 131,B9,D1,0A,185,209,10,0.4500,0.4544
132,橙色 132,BD,CF,11,189,207,17,0.4437,0.4373
133,朱红色 133,BF,D2,1D,191,210,29,0.4277,0.4174
134,朱红色 134,C4,CE,2F,196,206,47,0.4102,0.3856
135,红色 135,C2,C7,4A,194,199,74,0.3850,0.3488
136,红色 136,B6,BE,66,182,190,102,0.3568,0.3157
137,品红色 137,A5,AB,86,165,171,134,0.3286,0.2785
138,紫色 138,96,97,A2,150,151,162,0.3063,0.2468
139,蓝紫色 139,81,81,C2,129,129,194,0.2802,0.2135
140,蓝紫色 140,74,6E,DB,116,110,219,0.2633,0.1881
141,蓝紫色 141,44,3E,AE,68,62,174,0.2428,0.1606
142,蓝紫色 142,3B,2F,B3,59,47,179,0.2321,0.1417
143,蓝色 143,32,27,B8,50,39,184,0.2221,0.1290
144,蓝色 144,2C,20,B6,44,32,182,0.2161,0.1205
145,朱红色 145,D1,A8,02,209,168,2,0.5027,0.4406
146,朱红色 146,D6,9F,05,214,159,5,0.5054,0.4265
147,朱红色 147,D7,9F,09,215,159,9,0.4975,0.4180
148,朱红色 148,D7,A0,0F,215,160,15,0.4873,0.4076
149,红色 149,D8,A0,1D,216,160,29,0.4656,0.3848
150,红色 150,DA,9A,2E,218,154,46,0.4459,0.3554
151,红色 151,D7,96,47,215,150,71,0.4164,0.3242
152,红色 152,D0,8E,60,208,142,96,0.3901,0.2941
153,品红色 153,C1,7E,86,193,126,134,0.3552,0.2543
154,品红色 154,AC,73,A6,172,115,166,0.3244,0.2259
155,紫色 155,9A,5D,C7,154,93,199,0.2987,0.1934
156,蓝紫色 156,85,4E,E5,133,78,229,0.2741,0.1684
157,蓝紫色 157,50,2C,B0,80,44,176,0.2551,0.1481
158,蓝紫色 158,46,25,B7,70,37,183,0.2434,0.1355
159,蓝紫色 159,3C,1F,B8,60,31,184,0.2323,0.1248
160,蓝紫色 160,37,1B,B8,55,27,184,0.2279,0.1197
161,红色 161,E5,80,03,229,128,3,0.5396,0.4086
162,红色 162,EA,76,06,234,118,6,0.5421,0.3934
163,红色 163,EB,75,0A,235,117,10,0.5359,0.3860
164,红色 164,EC,73,12,236,115,18,0.5201,0.3703
165,红色 165,EC,71,1F,236,113,31,0.4986,0.3493
166,红色 166,EB,71,2F,235,113,47,0.4729,0.3278
167,红色 167,E9,68,49,233,104,73,0.4409,0.2932
168,玫红色 168,AC,48,4E,172,72,78,0.4092,0.2604
169,品红色 169,CF,54,91,207,84,145,0.3648,0.2235
170,品红色 170,BF,48,AF,191,72,175,0.3378,0.1976
171,紫色 171,AC,3D,CD,172,61,205,0.3116,0.1743
172,紫色 172,95,34,E9,149,52,233,0.2858,0.1549
173,蓝紫色 173,5E,1D,B0,94,29,176,0.2700,0.1392
174,蓝紫色 174,51,1A,B5,81,26,181,0.2557,0.1302
175,蓝紫色 175,49,17,B5,73,23,181,0.2482,0.1241
176,蓝紫色 176,43,15,B7,67,21,183,0.2408,0.1182
177,红色 177,B9,40,02,185,64,2,0.5821,0.3739
178,红色 178,B8,3C,05,184,60,5,0.5752,0.3636
179,红色 179,B7,39,08,183,57,8,0.5709,0.3549
180,红色 180,FC,4C,13,252,76,19,0.5544,0.3402
181,红色 181,B5,37,15,181,55,21,0.5326,0.3254
182,红色 182,FB,49,30,251,73,48,0.5005,0.2989
183,红色 183,F7,46,47,247,70,71,0.4662,0.2725
184,玫红色 184,EF,40,67,239,64,103,0.4262,0.2414
185,品红色 185,E2,39,87,226,57,135,0.3909,0.2143
186,品红色 186,D1,33,A8,209,51,168,0.3571,0.1903
187,品红色 187,BB,2A,C9,187,42,201,0.3254,0.1669
188,紫色 188,A9,24,E1,169,36,225,0.3034,0.1514
189,紫色 189,6E,15,AC,110,21,172,0.2880,0.1390
190,紫色 190,63,13,B3,99,19,179,0.2746,0.1310
191,蓝紫色 191,5A,11,B2,90,17,178,0.2663,0.1259
192,蓝紫色 192,58,10,B5,88,16,181,0.2631,0.1229
193,红色 193,F4,3F,03,244,63,3,0.6026,0.3574
194,红色 194,D5,2C,05,213,44,5,0.6088,0.3419
195,红色 195,D6,2B,08,214,43,8,0.5994,0.3344
196,红色 196,E5,30,0E,229,48,14,0.5811,0.3268
197,红色 197,EB,2E,1A,235,46,26,0.5551,0.3060
198,红色 198,B9,25,20,185,37,32,0.5227,0.2866
199,红色 199,C1,25,33,193,37,51,0.4843,0.2612
200,玫红色 200,B6,22,45,182,34,69,0.4476,0.2369
201,玫红色 201,ED,2C,7D,237,44,125,0.4097,0.2128
202,品红色 202,DE,26,9D,222,38,157,0.3752,0.1891
203,品红色 203,D0,21,B5,208,33,181,0.3514,0.1732
204,品红色 204,BF,1D,CD,191,29,205,0.3274,0.1582
205,紫色 205,B6,1C,D8,182,28,216,0.3166,0.1520
206,紫色 206,A8,1A,E9,168,26,233,0.3004,0.1424
207,紫色 207,A5,18,EE,165,24,238,0.2962,0.1391
208,紫色 208,9F,17,F5,159,23,245,0.2900,0.1350
209,红色 209,B5,1D,01,181,29,1,0.6320,0.3386
210,红色 210,B3,1C,03,179,28,3,0.6276,0.3343
211,红色 211,B0,1A,05,176,26,5,0.6204,0.3277
212,红色 212,BA,1D,09,186,29,9,0.6008,0.3198
213,红色 213,C3,1F,11,195,31,17,0.5763,0.3058
214,红色 214,D6,22,1F,214,34,31,0.5439,0.2869
215,红色 215,B9,1F,2A,185,31,42,0.5045,0.2652
216,玫红色 216,B5,1E,37,181,30,55,0.4733,0.2462
217,玫红色 217,F8,28,69,248,40,105,0.4381,0.2244
218,玫红色 218,EF,25,81,239,37,129,0.4091,0.2063
219,品红色 219,E9,23,8E,233,35,142,0.3947,0.1967
