6501 100 477
220.3 203.1
219.7 203.6
222.3 204.0
225.0 204.7
227.6 205.4
229.0 206.0
229.7 207.8
230.4 210.9
231.7 214.0
234.5 217.1
237.3 218.2
240.1 219.3
242.5 220.4
244.9 221.7
247.3 223.2
249.2 224.7
250.1 226.2
251.0 227.2
251.9 228.2
254.7 229.1
257.5 231.4
260.3 234.2
261.9 236.9
262.4 240.0
262.8 243.7
263.7 247.4
269.1 251.1
274.6 252.7
280.0 254.0
284.1 255.4
287.5 257.4
290.9 260.3
293.7 263.2
294.4 266.0
295.2 267.1
295.9 268.3
300.0 269.5
305.0 271.1
310.0 272.9
313.2 274.8
313.7 276.9
314.1 279.9
314.5 282.8
319.4 285.8
324.7 289.7
329.9 293.9
334.6 298.1
338.7 301.8
342.8 304.5
346.6 307.3
346.7 310.1
346.8 313.3
347.0 316.6
349.1 319.9
352.4 322.1
355.6 323.0
358.8 323.9
361.8 325.0
364.7 329.2
367.7 333.4
373.1 337.6
379.2 339.9
385.4 341.1
390.2 342.3
392.8 344.1
395.4 348.3
398.0 352.4
398.2 356.6
398.1 360.2
398.1 363.7
401.2 367.2
407.5 370.6
413.8 373.8
419.8 377.0
422.2 380.2
424.6 383.0
427.0 385.8
430.1 388.6
433.5 392.2
436.9 396.7
440.3 401.1
443.8 405.3
447.3 407.6
450.8 409.8
456.2 412.1
462.1 416.4
468.0 421.6
472.2 426.9
473.3 430.4
474.5 428.2
475.6 426.0
478.8 423.9
482.2 427.0
485.6 431.2
487.7 435.5
488.5 440.2
489.3 445.6
490.5 451.1
498.1 456.6
505.8 462.0
513.5 467.4
516.7 472.8
517.3 476.5
517.9 478.6
519.5 480.7
524.8 482.7
530.2 483.6
535.6 484.4
542.1 485.2
549.0 488.7
556.0 493.2
561.2 497.8
563.4 502.4
565.6 507.2
567.7 512.0
574.2 516.8
581.2 520.7
588.1 524.5
593.5 528.3
597.3 531.2
601.0 533.0
604.8 534.7
607.9 536.5
611.1 545.6
614.2 554.6
617.3 563.7
620.4 568.4
623.4 569.8
627.1 571.2
633.6 572.7
640.0 574.6
646.4 576.6
650.3 578.6
653.4 581.8
656.4 585.5
660.0 589.2
664.6 593.6
669.1 599.5
673.7 605.5
678.9 611.4
684.2 615.5
689.4 619.3
694.5 623.0
699.2 627.5
703.9 632.9
708.6 638.2
713.7 643.6
718.7 645.9
723.8 648.3
728.5 650.6
733.1 654.8
737.7 660.1
742.8 665.4
750.3 670.6
757.9 675.2
765.4 679.8
771.7 684.3
777.7 689.5
783.6 694.9
789.6 700.3
795.8 705.5
801.9 710.5
808.1 715.6
811.0 720.6
813.5 723.2
816.1 725.6
821.0 727.9
828.8 732.8
836.5 740.4
844.2 748.1
851.2 755.5
858.2 758.5
865.2 761.5
869.2 764.5
871.2 769.4
873.2 775.6
876.2 781.7
883.5 787.2
890.8 789.8
898.1 792.4
904.9 795.0
911.6 802.6
918.2 811.6
924.0 820.7
928.0 828.0
932.0 832.1
936.0 836.2
945.3 840.3
955.3 847.0
965.3 854.0
972.1 861.0
975.3 864.9
978.6 865.9
982.0 866.8
989.4 867.9
996.7 872.2
1004.1 876.6
1010.1 880.9
1015.1 888.1
1020.1 896.8
1025.6 905.5
1033.3 914.1
1041.1 922.4
1048.8 930.7
1057.5 939.0
1066.6 941.1
1075.7 941.6
1083.2 942.2
1087.1 944.7
1091.0 950.6
1095.0 956.5
1102.5 962.5
1110.4 968.4
1118.4 974.4
1125.4 980.3
1131.6 986.2
1137.7 991.9
1143.8 997.6
1149.6 1003.2
1155.4 1007.1
1161.1 1011.0
1167.1 1014.9
1173.2 1022.0
1179.3 1030.7
1185.5 1039.4
1192.2 1047.3
1199.0 1052.9
1205.7 1058.4
1215.0 1063.9
1225.1 1067.1
1235.1 1069.9
1243.8 1072.6
1249.4 1077.0
1255.0 1083.8
1260.6 1090.6
1265.4 1097.4
1270.1 1110.4
1274.8 1123.7
1282.3 1136.9
1293.2 1146.4
1304.1 1152.7
1314.9 1159.0
1322.9 1164.8
1330.9 1166.3
1338.9 1167.7
1347.1 1169.2
1355.4 1171.9
1363.8 1175.0
1371.8 1178.2
1377.9 1183.5
1384.0 1194.9
1390.1 1206.4
1398.4 1217.8
1407.4 1224.7
1416.4 1230.8
1424.9 1236.8
1432.5 1244.0
1440.1 1252.8
1447.7 1261.6
1454.8 1270.4
1461.9 1277.6
1468.9 1284.8
1475.6 1292.1
1481.8 1297.9
1488.0 1302.6
1494.3 1307.3
1503.7 1312.0
1513.0 1317.2
1522.3 1322.3
1532.2 1327.4
1542.5 1333.3
1552.7 1339.6
1561.9 1345.8
1566.6 1353.1
1571.3 1363.0
1575.9 1373.0
1584.0 1382.9
1593.2 1388.3
1602.4 1393.0
1610.4 1397.7
1616.2 1402.7
1621.9 1408.2
1627.6 1413.6
1634.6 1419.1
1641.8 1424.7
1649.1 1430.4
1656.2 1436.1
1663.4 1443.6
1670.5 1452.4
1677.6 1461.2
1682.8 1469.5
1688.1 1475.0
1693.4 1480.4
1698.1 1485.9
1702.5 1489.1
1707.0 1491.5
1711.6 1493.9
1717.4 1496.3
1723.1 1498.6
1728.9 1501.0
1733.3 1503.4
1737.3 1511.5
