Label,SegmentName,Temperature_C,SampleCount,MeanBefore,P95Before,MaxBefore,MeanAfter,P95After,MaxAfter,MeanDeltaFit,P95DeltaFit,MaxDeltaFit,RMSEDeltaFit
ALL,ALL,NaN,3680,0.0135861371506819,0.0472152818449469,0.146725811767379,0.00838607340055387,0.0279062600216455,0.12215390455498,0.0088177791975023,0.0279062600216464,0.12215390455498,0.0133527681159496
T45,ALL,43,930,0.00570112623556949,0.0185461496061014,0.033764864295209,0.00386704915446282,0.0124254070786816,0.0268323171642993,0.00397389915932604,0.0124254070786821,0.0268323171642994,0.00558414152939761
T60,ALL,60,928,0.0104701443433597,0.0332764833799331,0.062651215971984,0.00664584040366731,0.0201882301708305,0.050743075974099,0.00689816155362728,0.0201882301708306,0.0507430759740994,0.00960743712055211
T80,ALL,80,916,0.0157798992996399,0.0476940942292467,0.093321391943559,0.009623018163827,0.0287455220725412,0.0824621336432503,0.0101469386816535,0.0287455220725414,0.0824621336432504,0.0140485557984449
T100,ALL,100,906,0.0226537037597369,0.0653683132753941,0.146725811767379,0.0135566996332439,0.0414286760231347,0.12215390455498,0.0144123746958879,0.0414286760231349,0.12215390455498,0.0199527697965489
ALL,LOW,NaN,1808,0.00936230223908115,0.0419589740008834,0.079997007171886,0.00668903807325057,0.0239388420935883,0.0706068520935395,0.00756773128827835,0.0239388420935882,0.0706068520935395,0.0115110061900948
ALL,MID,NaN,1556,0.0190941516524326,0.0506070509788697,0.146725811767379,0.0102252410859329,0.0304530943862684,0.12215390455498,0.0102252410859329,0.0304530943862687,0.12215390455498,0.015272435340168
ALL,HIGH,NaN,316,0.0106311465033716,0.0555098610180092,0.099971855551456,0.00903953844268846,0.0282831710684494,0.0535692794102022,0.00903953844268843,0.0282831710684491,0.0535692794102018,0.0130277384445684
