Source,x,y,Y_lm
R,0.703998486228055,0.294598090881125,0.772699999999999
G,0.170086390038086,0.731840393279957,1.877
B,0.149769429424744,0.0328002019348932,0.2316
SingleWhite,0.328543601307757,0.337277360083791,2.7
W channel,0.328543601307757,0.337277360083791,1.876
