Case,x,y,Y_lm,CCT_K,Ra,Rmin_8,BlendRatio
Single white 2.4lm,0.308268911901641,0.316281993139555,2.39,6885.51346880684,85.5239941333006,76.1987048494495,"-"
RGB target white,0.308854505988082,0.317139850917598,2.39,6839.154456519,22.7360290003496,-54.7593584093697,"-"
RGB.xlsx W sheet,0.316486831987989,0.331962362224137,3.2,6285.35398810804,23.8232743584749,-53.7931910822054,"-"
Best Ra blend,0.308345444339585,0.316394108252536,2.39,6879.40454338281,94.5728783243749,88.5834745380001,"single=0.869,rgb=0.131"
Best Rmin8 blend,0.308331419070202,0.316373562132438,2.39,6880.52294271254,93.7223975858135,88.9347848512585,"single=0.893,rgb=0.107"
