wavelength_nm,R_component_W_nm,G_component_W_nm,B_component_W_nm,S_RGB_target_W_nm,S_single_white_W_nm
398.8,8.3267533086079e-08,2.75543879401126e-07,3.15405118615877e-07,6.74216531103082e-07,4.35396693435379e-07
399,1.32975585806099e-07,4.47620397935584e-07,3.39223188026287e-07,9.19819171767969e-07,3.90947575538238e-07
399.2,6.47574606443805e-08,2.08897571754642e-07,2.27718764112785e-07,5.01373796511807e-07,3.02697916366971e-07
399.4,0,0,1.29834416956133e-07,1.29834416956133e-07,1.91113911581089e-07
399.6,0,4.70953148445257e-08,1.29297440993117e-07,1.76392755837642e-07,7.39680019325269e-08
399.8,4.33524437139557e-08,2.01609861931948e-07,1.84419388789886e-07,4.2938169443579e-07,8.97860651271156e-08
400,2.25543878918826e-07,3.95952145836293e-07,2.81138771145417e-07,9.02634795900537e-07,3.08390977835638e-07
400.2,2.75275241814351e-07,4.07004501340875e-07,3.11942078718796e-07,9.94221821874023e-07,3.62121947848783e-07
400.4,1.0707439463877e-07,1.53897507567904e-07,2.37634616853572e-07,4.98606519060247e-07,1.29285822749976e-07
400.6,0,0,2.03846086977322e-07,2.03846086977322e-07,2.51287409382827e-08
400.8,0,0,2.41188669625741e-07,2.41188669625741e-07,1.43344081374124e-07
401,0,0,2.18044095490979e-07,2.18044095490979e-07,1.65877074538971e-07
401.2,0,0,1.31281521670025e-07,1.31281521670025e-07,5.2183033806221e-08
401.4,0,0,1.10430471987469e-07,1.10430471987469e-07,0
401.6,0,0,1.59723045134882e-07,1.59723045134882e-07,0
401.8,0,0,2.1135009852829e-07,2.1135009852829e-07,0
402,0,0,2.39450323711569e-07,2.39450323711569e-07,0
402.2,0,0,1.79331769072493e-07,1.79331769072493e-07,0
402.4,0,0,1.17065310581351e-07,1.17065310581351e-07,4.20162349201501e-08
402.6,1.28448032486784e-07,1.10936256845175e-07,2.78326473305212e-07,5.17710762637171e-07,3.38340805004982e-07
402.8,2.76754541413731e-07,2.76590732745822e-07,4.96111182102192e-07,1.04945645626175e-06,6.78166129835972e-07
403,1.76000790517767e-07,3.80873431313648e-07,4.48688923537828e-07,1.00556314536924e-06,6.88341576410349e-07
403.2,1.34687987160533e-08,4.02988208220358e-07,3.06399394625965e-07,7.22856401562376e-07,5.51881054928468e-07
403.4,6.98758372582358e-08,2.53388838904235e-07,3.07587112645857e-07,6.30851788808328e-07,5.06941901360607e-07
403.6,1.92264120658832e-07,1.02531232394968e-07,3.53202765639733e-07,6.47998118693533e-07,4.93710938251147e-07
403.8,2.45106495439114e-07,2.01831311677942e-07,3.55059428291519e-07,8.01997235408575e-07,5.00326419805877e-07
