对象,x,y,Y_lm,CCT_K,Ra,Rmin_8,混光比例
W 通道,0.315108426358807,0.314635149995805,2.217,6481.58547979876,91.5902508279969,85.2320542512097,"-"
RGB 合成白光,0.315108426358807,0.314635149995805,2.217,6481.58548042617,25.8915206954004,-58.2775119777485,"W=0.000, RGB=1.000"
最佳 Ra 混光,0.315108426358807,0.314635149995805,2.217,6481.58547979876,91.5902508279969,85.2320542512097,"W=1.000, RGB=0.000"
最佳 Rmin8 混光,0.315108426358807,0.314635149995805,2.217,6481.58547979876,91.5902508279969,85.2320542512097,"W=1.000, RGB=0.000"
