RayT,WhiteXYCoeff,RGBXYCoeff,SingleWhiteRatio,RGBWhiteRatio,RGBPoint_x,RGBPoint_y,RGBPoint_Y_lm,R_weight,G_weight,B_weight,x,y,Y_lm,CCT_K,Ra,Rmin_8,R1,R2,R3,R4,R5,R6,R7,R8,Worst_R,Edge
1,0,1,0,1,0.3169,0.331,2.7,0.901568768841219,1.01142939677116,0.452956971402948,0.3169,0.331,2.7,6269.80929732343,29.0727700239608,-53.3811818294481,15.2236155572831,76.5792902309643,50.1723754357187,6.15205367581071,31.6442123238756,69.3052806832024,36.8865141142799,-53.3811818294481,R8,
1.01382615095541,0.0136375955013419,0.986362404498658,0.0138962302374114,0.986103769762588,0.316739013810654,0.33091320827188,2.66248017835899,0.888384265116465,0.997587028395394,0.447127825584389,0.3169,0.331,2.7,6269.80929733524,30.1437730471846,-51.1831481635991,16.5154092608363,76.9647157953718,50.8721294945646,7.58967545339762,32.7202591289171,69.8428794898998,37.8282639180891,-51.1831481635991,R8,
1.02765230191082,0.0269082274806446,0.973091772519355,0.0274185375504711,0.972581462449529,0.316578027621309,0.33082641654376,2.62596994861373,0.875554533017155,0.984117133616753,0.441455531747534,0.3169,0.331,2.7,6269.80929734013,31.1864617539301,-49.0409906128779,17.7722484821836,77.3396016696599,51.5522858226904,8.98926875668971,33.7676087112136,70.3662855590951,38.7453856427865,-49.0409906128779,R8,
1.04147845286624,0.0398265108145875,0.960173489185412,0.0405818139845699,0.95941818601543,0.316417041431963,0.33073962481564,2.59042910224166,0.863065443227313,0.971004878111494,0.435933843025237,0.3169,0.331,2.7,6269.80929733048,32.2019439056892,-46.9526035343948,18.9955323918057,77.7043742145275,52.213652759548,10.3523227403952,34.7873921570482,70.8760477695701,39.6388327470138,-46.9526035343948,R8,
1.05530460382165,0.0524062944683183,0.947593705531682,0.0534001711481819,0.946599828851818,0.316256055242617,0.33065283308752,2.55581953789991,0.850903606896055,0.958236204967811,0.430556839925511,0.3169,0.331,2.7,6269.80929733048,33.191270150011,-44.9159858783259,20.1865864692104,78.0594370974452,52.8569947791493,11.6802498110675,35.7806818711747,71.3726869627472,40.5095100876194,-44.9159858783259,R8,
1.06913075477706,0.0646607110198387,0.935339288980161,0.0658869906764716,0.934113009323528,0.316095069053272,0.3305660413594,2.52210512517353,0.839056327758592,0.945797784417828,0.425318909163219,0.3169,0.331,2.7,6269.80929733307,34.155437657983,-42.9292347663747,21.3466672912586,78.40517278265,53.4830354273457,12.9743905089611,36.7484953334046,71.8566977081819,41.3582769784371,-42.9292347663747,R8,
1.08295690573247,0.0766022223907098,0.92339777760929,0.0780549708292752,0.921945029170725,0.315934082863926,0.33047924963128,2.48925157876096,0.827511557924866,0.933676967420232,0.4202147241133,0.3169,0.331,2.7,6269.80929732155,35.0953934865787,-40.9905395388014,22.4769669515776,78.7419439053051,54.0924600253654,14.2360180212555,37.6917985700187,72.3285499374803,42.1859500204285,-40.9905395388014,R8,
1.09678305668789,0.0882426621178448,0.911757337882155,0.08991616956457,0.91008383043543,0.31577309667458,0.33039245790316,2.45722634217566,0.816257857012188,0.921861742753753,0.415239226742452,0.3169,0.331,2.7,6269.8092973304,36.0120376900318,-39.0981762302643,23.5786171439298,79.0700945402208,54.6859181613492,15.4663423590065,38.6115093650832,72.7886904578634,42.9933057230656,-39.0981762302643,R8,
1.1106092076433,0.0995932744678124,0.900406725532188,0.101482044394575,0.898517955605425,0.315612110485235,0.33030566617504,2.42599848013465,0.805284354330453,0.910340697315551,0.410387610890422,0.3169,0.331,2.7,6269.80929734087,36.906226202806,-37.2505024368785,24.6526929399549,79.3899513742104,55.2640259910495,16.6665142284792,39.5085002347175,73.2375443550062,43.7810829359087,-37.2505024368785,R8,
1.12443535859871,0.110664750665422,0.889335249334578,0.112763489301404,0.887236510698597,0.315451124295889,0.33021887444692,2.39553857888621,0.794580713857207,0.899102979348643,0.405655306784744,0.3169,0.331,2.7,6269.80929733048,37.7787735120752,-35.4459525453849,25.7002162862336,79.7018247908516,55.8273683615446,17.837628619983,40.3836011835656,73.6755162953243,44.5499851044837,-35.4459525453849,R8,
1.13826150955412,0.12146726248196,0.87853273751804,0.123770868962298,0.876229131037702,0.315290138106543,0.3301320827188,2.3658186538018,0.784137101765336,0.888138264349332,0.401037966684056,0.3169,0.331,2.7,6269.80929733307,38.6304551380215,-33.6830332938198,26.7221592452261,80.0060098750389,56.37650077492,18.9807281390994,41.2376022622357,74.1029917357279,45.3006823657436,-33.6830332938198,R8,
