Case,R_weight,G_weight,B_weight
RGB target,0.901568768841219,1.01142939677116,0.452956971402948
Best Ra blend,0.0434833779511428,0.110528283878818,0.0735794102375629
Best Rmin8 blend,0.0339291749397926,0.100497356634157,0.0693552965586605
