Method,ValidCount,MeanDiff_ExactMinusMethod,MeanAbsDiff,MaxAbsDiff
Projection1,234,3.87279424178161,3.87279424178161,14.1798510371028
ProjectionK,234,4.37148754017583,4.37148754017583,13.3411407352107
Ratio1,300,0.598318086813084,0.598318086813085,3.16097128051049
RatioK,300,0.408174857072279,0.408174857072279,5.4424558413622
PureRGB,300,22.6633459713518,22.6633459713598,80.0274525747025
