Index,Target_x,Target_y,Target_Y,Exact_Ra,Grid_Ra,Ra_Diff,Abs_Ra_Diff,Exact_Rmin8,Grid_Rmin8,TargetToSelectedGrid_DeltaUV,SelectedGridRank,SkippedCandidateCount,SelectedGridTarget_x,SelectedGridTarget_y,Exact_RGBPoint_x,Exact_RGBPoint_y,Exact_RGBPoint_u,Exact_RGBPoint_v,Exact_RayT,Exact_R_weight,Exact_G_weight,Exact_B_weight,Exact_SingleWhiteRatio,Exact_RGBWhiteRatio,Grid_StoredBestRgb_x,Grid_StoredBestRgb_y,Grid_StoredBestRgb_u,Grid_StoredBestRgb_v,Grid_ProjectedRgb_x,Grid_ProjectedRgb_y,Grid_ProjectedRgb_u,Grid_ProjectedRgb_v,Grid_RawRayT,Grid_RayT,Grid_R_weight,Grid_G_weight,Grid_B_weight,Grid_SingleWhiteRatio,Grid_RGBWhiteRatio,Grid_KUsed,Grid_WeightPower,Grid_NearestMode,Grid1_Ra,Grid1_Rmin8,Grid1_TargetToSelectedGrid_DeltaUV,Grid1_SelectedGridRank,Grid1_SelectedGridTarget_x,Grid1_SelectedGridTarget_y,Grid1_StoredBestRgb_x,Grid1_StoredBestRgb_y,Grid1_StoredBestRgb_u,Grid1_StoredBestRgb_v,Grid1_ProjectedRgb_x,Grid1_ProjectedRgb_y,Grid1_ProjectedRgb_u,Grid1_ProjectedRgb_v,Grid1_RawRayT,Grid1_RayT,Grid1_R_weight,Grid1_G_weight,Grid1_B_weight,Grid1_SingleWhiteRatio,Grid1_RGBWhiteRatio,Grid1_KUsed,Grid1_WeightPower,Grid1_NearestMode,ExactVsGrid1Rgb_DeltaUV,PureRGB_Valid,PureRGB_Ra,PureRGB_Rmin8,PureRGB_R_weight,PureRGB_G_weight,PureRGB_B_weight,PureRGB_Is_ExactMax,Final_Max_Ra,Final_Max_Source,ExactVsProjectedRgb_DeltaUV,StoredVsProjectedRgb_Distance_xy
1,0.3169,0.331,3.231,96.8106602575696,94.5425704615917,2.26808979597789,2.26808979597789,93.0576155061806,88.1077733297282,0.0129135264583862,1,13,0.333995106289918,0.328753492717312,0.221478091799699,0.264222325835937,0.154671256081298,0.415174688619471,8.85685937465984,0.0354917618453623,0.0829791583250189,0.0419827076361178,0.909871577828421,0.0901284221715788,0.286318699080549,0.240359300705031,0.215614653869682,0.407260238617571,0.253793044139881,0.286836811321495,0.171064076782478,0.43500726186183,6.19610734167073,6.19610734167073,0.0746543618133224,0.123043849064819,0.0529867133470339,0.860141792021382,0.139858207978618,6,2,uv1976,74.2804080164673,41.377186527303,0.0129135264583862,1,0.333995106289918,0.328753492717312,0.413790398843489,0.155530697339486,0.409816452717125,0.346583288093386,0.29951064365976,0.318830669145981,0.192396470404223,0.460815892764968,2.43180669888013,2.43180669888013,0.276445511374352,0.329483156153871,0.109686497426706,0.603901638057237,0.396098361942763,1,2,uv1976,0.0592141141246036,1,24.5676734142887,-63.3305373605346,0.752022831634668,0.81601516053256,0.243315407468637,0,96.8106602575696,ExactRayScan,0.0257304397932602,0.0567280990552555
2,0.3197,0.3497,3.198,96.0056965723212,95.6730524007455,0.332644171575652,0.332644171575652,92.9077771744185,92.9858228038435,0.00630652521593752,1,0,0.3259224925684,0.360849602858504,0.253783692819428,0.421651884009642,0.134414786229217,0.502481291256231,8.05361069875187,0.0525835173494416,0.146601134335024,0.0240125903238742,0.850284150001922,0.149715849998078,0.311988589506836,0.501067137703178,0.148763842529481,0.537572588784582,0.240787209940827,0.435838380016658,0.124301550305638,0.506233778975156,9.44434592952743,9.44434592952743,0.0387471655206164,0.132446069108443,0.0201248174316964,0.86803524578669,0.13196475421331,6,2,uv1976,94.2363925469535,91.9572858399257,0.00630652521593752,1,0.3259224925684,0.360849602858504,0.298939306497932,0.545346008954781,0.133659811175234,0.548621063689989,0.212778008228606,0.466412223106496,0.104157550194637,0.513708153507477,12.4415709457833,12.4415709457833,0.0194447393044801,0.112699021223216,0.0147011732280257,0.892798942235,0.107201057765,1,2,uv1976,0.0322729417385635,1,30.3872718834851,-53.9855374949216,0.715349962674776,0.824634071024627,0.210238370923993,0,96.0056965723212,ExactRayScan,0.0107869692187678,0.096563074109256
3,0.4016,0.5034,2.918,36.4846687402328,35.7184543533043,0.766214386928468,0.766214386928468,-33.3918929423035,-35.1276641201614,0.00698659063984738,1,7,0.39848932503119,0.484964585119013,0.411377044481063,0.525486218510068,0.193975310206273,0.557506904255407,1.13475364210218,0.615088512986766,0.717109109972868,0,0.0800874705696907,0.919912529430309,0.42235140967085,0.516818833127236,0.202151578080518,0.556575438577565,0.409967063353858,0.522301089166446,0.194120570209176,0.556449864401155,1.11532035706862,1.11532035706862,0.62245353271038,0.724643779217518,0.00206944174201814,0.0697319804921412,0.930268019507859,6,2,uv1976,36.1607038393301,-34.1263950528843,0.00698659063984738,1,0.39848932503119,0.484964585119013,0.416066143553442,0.521782839949602,0.19743894723217,0.557112316032547,0.410774591302104,0.524125284479507,0.194037227925037,0.557056336341938,1.12645023709895,1.12645023709895,0.618204327051095,0.720296695245353,0.000875489262359401,0.0757065207776356,0.924293479222364,1,2,uv1976,0.000454802428033296,1,30.5228985941649,-46.7764712495726,0.672048231545993,0.775380866969811,0.0160046847969924,0,36.4846687402328,ExactRayScan,0.00106697409618068,0.0135435285276269
4,0.4165,0.4966,2.888,29.8084930186503,29.3034961683969,0.504996850253463,0.504996850253463,-46.0775765989678,-47.1654523138276,0.0056144473610963,1,7,0.42330552328704,0.49065622497798,0.426105097678533,0.513854227885214,0.205005061337446,0.55625036095572,1.10982908451665,0.668140326709119,0.698840874093579,0,0.0676539889778087,0.932346011022191,0.43651469014292,0.505632891342574,0.213075214276437,0.555330984218898,0.425073872671282,0.512001774961616,0.205006198801374,0.555592744999448,1.09803758564099,1.09803758564099,0.672796648769486,0.703604452188142,0.001308345068664,0.0610390193802624,0.938960980619738,6,2,uv1976,29.4303311016807,-46.8923702397867,0.0056144473610963,1,0.42330552328704,0.49065622497798,0.433921856620707,0.507680671508616,0.211043163389729,0.555562481729218,0.425330731407769,0.512463186112442,0.20500591496352,0.555756843655176,1.10097462603585,1.10097462603585,0.671627519027492,0.7024083921312,0.000979840057039752,0.0626999349266134,0.937300065073387,1,2,uv1976,0.000493518038792872,1,24.6256181904508,-57.1705878868252,0.715762429381526,0.747559927923251,0.0133809780301031,0,29.8084930186503,ExactRayScan,0.000657616939994502,0.0130940819827974
5,0.431,0.49,2.851,23.413488884748,23.0601404765407,0.353348408207371,0.353348408207371,-56.8633065923294,-57.5903789357264,0.0085630664440778,1,9,0.448237477432469,0.496374413659141,0.439821223836237,0.503021441722876,0.215688116583983,0.555033314321523,1.08652079547391,0.718190730128914,0.679182129749748,0,0.0551728276721618,0.944827172327838,0.45476648992865,0.491217899683609,0.227808055265113,0.55365257349054,0.439041573202136,0.501870561132538,0.215629652827826,0.554596439837158,1.07887378477489,1.07887378477489,0.721331535199714,0.682395281683955,0.000882511298132237,0.0506529592077656,0.949347040792235,6,2,uv1976,23.2151348406439,-57.2715274991639,0.0085630664440778,1,0.448237477432469,0.496374413659141,0.448237477432469,0.496374413659141,0.222449863972744,0.554262995184266,0.439382172606738,0.502373336640814,0.21565521501789,0.554787455080404,1.08221446991918,1.08221446991918,0.719953978326776,0.680985993482051,0.000495441907710855,0.0526353731836562,0.947364626816344,1,2,uv1976,0.000248050961488135,1,19.0921776497549,-65.7145799024622,0.756529699125051,0.718404217592989,0.0107725798115877,0,23.413488884748,ExactRayScan,0.000440769016462435,0.0189934778806128
6,0.4576,0.4619,2.792,15.65034048893,15.2231578794156,0.427182609514389,0.427182609514389,-65.1225859296502,-65.9094474964921,0.00759317697372185,1,4,0.472801262527493,0.476974312769681,0.473146154580376,0.47670192231373,0.243446460715481,0.551870998063065,1.12093002982621,0.809787997935455,0.598307455464342,0,0.0792951373138881,0.920704862686112,0.464483267191149,0.483543737966119,0.235971208057147,0.552722601923351,0.472019192475601,0.475628910628483,0.243198904148095,0.551382171111509,1.11216364581537,1.11216364581537,0.813305202073209,0.601905676628492,0.000988272853435812,0.0741266412287588,0.925873358771241,6,2,uv1976,15.6334605095077,-65.1536873663578,0.00759317697372185,1,0.472801262527493,0.476974312769681,0.472801262527493,0.476974312769681,0.2431451985994,0.55190531877338,0.473101287291172,0.476659202930889,0.243436617776561,0.55185156212615,1.12058101730394,1.12058101730394,0.809926975125785,0.598449633924276,3.90501600334604e-05,0.0790909117312923,0.920909088268708,1,2,uv1976,2.17862133092869e-05,1,9.09988981366668,-77.1381222127872,0.86374899170821,0.653511413559218,0.0151620955740398,0,15.65034048893,ExactRayScan,0.00054793799158693,0.0109286166406108
7,0.4959,0.4449,2.683,3.45602367748543,2.183221938132,1.27280173935343,1.27280173935343,-70.1172354342785,-72.1923503101495,0.00764773822324544,1,115,0.495704706659035,0.458885523719087,0.505630231512904,0.451046496354167,0.273265725084448,0.548473895408724,1.05831550818864,0.944884782316722,0.544039409371371,0,0.042048001649608,0.957951998350392,0.495845020656823,0.458489752229474,0.264091970875353,0.549441415781672,0.501996739430909,0.448751253347332,0.272047296034222,0.547181883507637,1.03653915713472,1.03653915713472,0.954790805375029,0.55417361268313,0.00278341924170651,0.0268998134509975,0.973100186549003,5,2,uv1976,2.21124456233632,-72.1466958529895,0.00764773822324544,1,0.495704706659035,0.458885523719087,0.495704706659035,0.458885523719086,0.263840533226056,0.549547642362494,0.502075144406541,0.448800781038038,0.272073658455463,0.54720983799705,1.03700905612864,1.03700905612864,0.954572657316755,0.553950439694171,0.00272212345232993,0.0272334032097179,0.972766596790282,1,2,uv1976,0.00173748783821614,1,-0.0754423391892729,-75.8674136134939,0.972381699336471,0.572169704029935,0.0077261528132823,0,3.45602367748543,ExactRayScan,0.00177591218898461,0.0115187674841074
8,0.5289,0.4162,2.593,0.0881278706098962,-1.04456649062293,1.13269436123283,1.13269436123283,-53.0965001903184,-54.9626042998571,0.00483307645909222,1,116,0.537161303925396,0.426143738754356,0.542932770037647,0.421585523299179,0.311441419648342,0.544124802428775,1.07021477158588,1.06992467529044,0.452330818194705,0,0.0535173169631415,0.946482683036858,0.536886906700735,0.426360453475708,0.304938854572401,0.544865594716814,0.539260344743169,0.420176112902312,0.309759844183379,0.543050864382431,1.05183931880455,1.05183931880455,1.07834007947437,0.460940066976852,0.00236458140612421,0.0402019085118743,0.959798091488126,4,2,uv1976,-0.992316456795235,-54.8765220609178,0.00483307645909222,1,0.537161303925396,0.426143738754356,0.537161303925396,0.426143738754356,0.305231202479368,0.544832289540721,0.539427021237894,0.420240080325947,0.309836264174978,0.543099670004415,1.05267330610531,1.05267330610531,1.07795177383407,0.460542816911637,0.00225547431193278,0.0408163113488107,0.959183688651189,1,2,uv1976,0.00190457884613477,1,-4.46025973975091,-60.5901190715062,1.10374788505024,0.4869331285613,0.00950373043829967,0,0.0881278706098962,ExactRayScan,0.00199525411207441,0.00662414345172418
9,0.5532,0.3927,2.513,1.91038971279432,-1.45904646713298,3.3694361799273,3.3694361799273,-59.0796965730631,-65.0231205283057,0.0117225518048676,1,61,0.555981437439253,0.411279885829837,0.573427965496475,0.397500885436715,0.346317120446854,0.540151654926252,1.09024099185396,1.16501395765076,0.370789197976503,0,0.071558184520179,0.928441815479821,0.558778515787573,0.40782175919425,0.329842645367334,0.541651583236233,0.561878633478401,0.394759778334321,0.339844573573227,0.537221316511147,1.0387171163192,1.0387171163192,1.1891061957364,0.395436388635969,0.00676949757421623,0.0322243136283425,0.967775686371658,6,2,uv1976,-2.03595699918733,-66.0406555077132,0.0117225518048676,1,0.555981437439253,0.411279885829837,0.555981437439253,0.411279885829837,0.325926537106023,0.542474613129835,0.56000769321209,0.394315731211586,0.338794244956275,0.536745797622704,1.03037047832633,1.03037047832633,1.19323580823601,0.399661124680242,0.00792984646746543,0.0254821569090039,0.974517843090996,1,2,uv1976,0.00825793676525119,1,-4.21472168962119,-69.8832411049327,1.20884378622718,0.415628624585801,0.0123154153288587,0,1.91038971279432,ExactRayScan,0.00710498038409199,0.0134248304898847
10,0.5897,0.3655,2.375,8.97697380375128,6.53247939256833,2.44449441118295,2.44449441118295,-59.5003968242361,-64.2230880025257,0.00962407018152557,1,39,0.60609598419292,0.371700185091955,0.611227491757042,0.367647399087115,0.395021167749354,0.534603139499404,1.08258999615467,1.30064042330311,0.271065129921958,0,0.0708622465815375,0.929137753418462,0.601753901166781,0.372000135942527,0.3844769550808,0.534782289535449,0.602277152169382,0.366754589498482,0.388785331953782,0.532686338337451,1.04825211227714,1.04825211227714,1.31691002182463,0.287709490453657,0.00457147265992529,0.0427564918253896,0.95724350817461,6,2,uv1976,7.71788779216921,-61.933118889015,0.00962407018152557,1,0.60609598419292,0.371700185091955,0.60609598419292,0.371700185091955,0.38801254098599,0.535401583897177,0.606546829838002,0.367180496149909,0.391758275073651,0.533600175874775,1.06463268583456,1.06463268583456,1.30901784827435,0.27963552465936,0.00235390991153944,0.0563902329409976,0.943609767059002,1,2,uv1976,0.00341356187075686,1,2.81964373336255,-71.3930570040296,1.34166050307743,0.313030086580212,0.0115259250526807,0,8.97697380375128,ExactRayScan,0.00652378530945038,0.00527157937513573
