Index,Target_x,Target_y,Target_Y_lm,Target_u1976,Target_v1976,Exact_Valid,Exact_Ra,Exact_Rmin8,Exact_SelectedGridTarget_x,Exact_SelectedGridTarget_y,Exact_StoredBestRgb_x,Exact_StoredBestRgb_y,Exact_RGBPoint_x,Exact_RGBPoint_y,Exact_RayT,Exact_SingleWhiteRatio,Exact_RGBWhiteRatio,Exact_R_weight,Exact_G_weight,Exact_B_weight,Exact_KUsed,Proj1_Valid,Proj1_Ra,Proj1_Rmin8,Proj1_SelectedGridTarget_x,Proj1_SelectedGridTarget_y,Proj1_StoredBestRgb_x,Proj1_StoredBestRgb_y,Proj1_RGBPoint_x,Proj1_RGBPoint_y,Proj1_RayT,Proj1_SingleWhiteRatio,Proj1_RGBWhiteRatio,Proj1_R_weight,Proj1_G_weight,Proj1_B_weight,Proj1_KUsed,ProjK_Valid,ProjK_Ra,ProjK_Rmin8,ProjK_SelectedGridTarget_x,ProjK_SelectedGridTarget_y,ProjK_StoredBestRgb_x,ProjK_StoredBestRgb_y,ProjK_RGBPoint_x,ProjK_RGBPoint_y,ProjK_RayT,ProjK_SingleWhiteRatio,ProjK_RGBWhiteRatio,ProjK_R_weight,ProjK_G_weight,ProjK_B_weight,ProjK_KUsed,Ratio1_Valid,Ratio1_Ra,Ratio1_Rmin8,Ratio1_SelectedGridTarget_x,Ratio1_SelectedGridTarget_y,Ratio1_StoredBestRgb_x,Ratio1_StoredBestRgb_y,Ratio1_RGBPoint_x,Ratio1_RGBPoint_y,Ratio1_RayT,Ratio1_SingleWhiteRatio,Ratio1_RGBWhiteRatio,Ratio1_R_weight,Ratio1_G_weight,Ratio1_B_weight,Ratio1_KUsed,RatioK_Valid,RatioK_Ra,RatioK_Rmin8,RatioK_SelectedGridTarget_x,RatioK_SelectedGridTarget_y,RatioK_StoredBestRgb_x,RatioK_StoredBestRgb_y,RatioK_RGBPoint_x,RatioK_RGBPoint_y,RatioK_RayT,RatioK_SingleWhiteRatio,RatioK_RGBWhiteRatio,RatioK_R_weight,RatioK_G_weight,RatioK_B_weight,RatioK_KUsed,PureRGB_Valid,PureRGB_Ra,PureRGB_Rmin8,PureRGB_SelectedGridTarget_x,PureRGB_SelectedGridTarget_y,PureRGB_StoredBestRgb_x,PureRGB_StoredBestRgb_y,PureRGB_RGBPoint_x,PureRGB_RGBPoint_y,PureRGB_RayT,PureRGB_SingleWhiteRatio,PureRGB_RGBWhiteRatio,PureRGB_R_weight,PureRGB_G_weight,PureRGB_B_weight,PureRGB_KUsed,Approx_Max_Ra,Overall_Max_Ra,Approx_Max_Source,Overall_Max_Source
1,0.149847034585031,0.0315533724733915,4,0.194673131770244,0.092232963916951,1,-58.3650384001613,-146.386169201869,NaN,NaN,NaN,NaN,0.149847034585031,0.0315533724733915,1,0,1,0,0,8.22537528274728,NaN,1,-58.3650384001613,-146.386169201869,0.149847034585031,0.0315533724733915,0.149847034585031,0.0315533724733915,0.149847034585031,0.0315533724733915,1,0,1,0,0,8.22537528274728,1,1,-58.3650384001613,-146.386169201869,0.149847034585031,0.0315533724733915,0.149847034585031,0.0315533724733915,0.149847034585031,0.0315533724733915,1,0,1,0,0,8.22537528274728,1,1,-58.3650384001613,-146.386169201869,0.149847034585031,0.0315533724733915,NaN,NaN,0.149847034585031,0.0315533724733915,1,0,1,0,0,8.22537528274728,NaN,1,-58.3650384001613,-146.386169201869,0.149847034585031,0.0315533724733915,NaN,NaN,0.149847034585031,0.0315533724733915,1,0,1,0,0,8.22537528274728,6,1,-58.3650384001613,-146.386169201869,NaN,NaN,NaN,NaN,0.149847034585031,0.0315533724733915,1,0,1,0,0,8.22537528274728,NaN,-58.3650384001613,-58.3650384001613,Proj1,Exact
2,0.149988238831978,0.0399727772713966,4,0.188682438517603,0.113141287506273,1,-47.3412130192558,-124.926855515547,NaN,NaN,NaN,NaN,0.149988238831977,0.0399727772713964,1,5.65764923473204e-15,0.999999999999994,0,0.316212351594131,6.41380297852917,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-47.3412130192561,-124.926855515545,0.149982171072219,0.0396109827309979,NaN,NaN,0.149988238831978,0.0399727772713966,1,0,1,0,0.316212351594137,6.41380297852917,NaN,1,-47.3412130192561,-124.926855515545,0.149982171072219,0.0396109827309979,NaN,NaN,0.149988238831978,0.0399727772713966,1,0,1,0,0.316212351594137,6.41380297852917,6,1,-47.3412130192561,-124.926855515545,NaN,NaN,NaN,NaN,0.149988238831978,0.0399727772713966,1,0,1,0,0.316212351594137,6.41380297852917,NaN,-47.3412130192561,-47.3412130192558,Ratio1,Exact
3,0.150138996776212,0.0489618281425533,4,0.182691745264962,0.134049611095595,1,-37.3363098874181,-105.544540055406,NaN,NaN,NaN,NaN,0.150138996776212,0.0489618281425532,1,3.07929614176423e-15,0.999999999999997,0,0.5337825644154,5.1673489112455,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-37.3363098874183,-105.544540055405,0.150126045122694,0.0481895764849347,NaN,NaN,0.150138996776212,0.0489618281425533,1,0,1,0,0.533782564415402,5.16734891124551,NaN,1,-37.3363098874183,-105.544540055405,0.150126045122694,0.0481895764849347,NaN,NaN,0.150138996776212,0.0489618281425533,1,0,1,0,0.533782564415402,5.16734891124551,6,1,-37.3363098874183,-105.544540055405,NaN,NaN,NaN,NaN,0.150138996776212,0.0489618281425533,1,0,1,0,0.533782564415402,5.16734891124551,NaN,-37.3363098874183,-37.3363098874181,Ratio1,Exact
4,0.150300311952944,0.0585803615956412,4,0.176701052012321,0.154957934684917,1,-27.3872260095736,-94.952889300345,NaN,NaN,NaN,NaN,0.150300311952944,0.0585803615956412,1,0,1,0,0.692639702332637,4.25726051676182,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-27.3872260095736,-94.952889300345,0.150279532468871,0.0573413699102774,NaN,NaN,0.150300311952944,0.0585803615956412,1,0,1,0,0.692639702332637,4.25726051676182,NaN,1,-27.3872260095736,-94.952889300345,0.150279532468871,0.0573413699102774,NaN,NaN,0.150300311952944,0.0585803615956412,1,0,1,0,0.692639702332637,4.25726051676182,6,1,-27.3872260095736,-94.952889300345,NaN,NaN,NaN,NaN,0.150300311952944,0.0585803615956412,1,0,1,0,0.692639702332637,4.25726051676182,NaN,-27.3872260095736,-27.3872260095736,Ratio1,Exact
5,0.150473333547693,0.0688968986438816,4,0.17071035875968,0.175866258274239,1,-17.9814855869079,-84.9325964923398,NaN,NaN,NaN,NaN,0.150473333547693,0.0688968986438815,1,2.1883128480483e-15,0.999999999999998,0,0.813724541269497,3.56356863669171,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-17.981485586908,-84.93259649234,0.150443629916461,0.0671257982646744,NaN,NaN,0.150473333547693,0.0688968986438815,1,1.09415642402415e-15,0.999999999999999,0,0.813724541269497,3.56356863669171,NaN,1,-17.981485586908,-84.93259649234,0.150443629916461,0.0671257982646744,NaN,NaN,0.150473333547693,0.0688968986438815,1,1.09415642402415e-15,0.999999999999999,0,0.813724541269497,3.56356863669171,6,1,-17.9814855869081,-84.9325964923403,NaN,NaN,NaN,NaN,0.150473333547693,0.0688968986438816,1,0,1,0,0.813724541269499,3.56356863669171,NaN,-17.981485586908,-17.9814855869079,Ratio1,Exact
6,0.150659383815266,0.0799902796813128,4,0.164719665507039,0.196774581863561,1,-9.47090153908318,-74.7063441932752,NaN,NaN,NaN,NaN,0.150659383815266,0.0799902796813128,1,0,1,0,0.909077591371884,3.01729350285407,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-9.47090153908325,-74.7063441932754,0.150619477017106,0.0776108081344615,NaN,NaN,0.150659383815266,0.0799902796813129,1,-9.42414310174676e-16,1,0,0.909077591371884,3.01729350285407,NaN,1,-9.47090153908325,-74.7063441932754,0.150619477017106,0.0776108081344615,NaN,NaN,0.150659383815266,0.0799902796813129,1,-9.42414310174676e-16,1,0,0.909077591371884,3.01729350285407,6,1,-9.47090153908329,-74.7063441932746,NaN,NaN,NaN,NaN,0.150659383815266,0.0799902796813128,1,0,1,0,0.909077591371883,3.01729350285407,NaN,-9.47090153908325,-9.47090153908318,Ratio1,Exact
7,0.150859991935088,0.0919516831310716,4,0.158728972254397,0.217682905452882,1,-2.02570999222787,-64.9301943195579,NaN,NaN,NaN,NaN,0.150859991935088,0.0919516831310716,1,0,1,0,0.986113425222292,2.57595722255952,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-2.02570999222787,-64.9301943195579,0.150808382569251,0.0888744375683754,NaN,NaN,0.150859991935088,0.0919516831310716,1,0,1,0,0.986113425222292,2.57595722255952,NaN,1,-2.02570999222787,-64.9301943195579,0.150808382569251,0.0888744375683754,NaN,NaN,0.150859991935088,0.0919516831310716,1,0,1,0,0.986113425222292,2.57595722255952,6,1,-2.02570999222787,-64.9301943195579,NaN,NaN,NaN,NaN,0.150859991935088,0.0919516831310716,1,0,1,0,0.986113425222292,2.57595722255952,NaN,-2.02570999222787,-2.02570999222787,Ratio1,Exact
8,0.151076936137328,0.104887137246267,4,0.152738279001756,0.238591229042204,1,4.31096539750354,-55.8652447046121,NaN,NaN,NaN,NaN,0.151076936137328,0.104887137246267,1,0,1,0,1.04964758804662,2.21197166296959,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4.31096539750354,-55.8652447046121,0.151011857250569,0.101006761809397,NaN,NaN,0.151076936137328,0.104887137246267,1,0,1,0,1.04964758804662,2.21197166296959,NaN,1,4.31096539750354,-55.8652447046121,0.151011857250569,0.101006761809397,NaN,NaN,0.151076936137328,0.104887137246267,1,0,1,0,1.04964758804662,2.21197166296959,6,1,4.31096539750354,-55.8652447046121,NaN,NaN,NaN,NaN,0.151076936137328,0.104887137246267,1,0,1,0,1.04964758804662,2.21197166296959,NaN,4.31096539750354,4.31096539750354,Ratio1,Exact
9,0.151312296557197,0.11892067158508,4,0.146747585749115,0.259499552631526,1,9.59594750139067,-47.5870892621508,NaN,NaN,NaN,NaN,0.151312296557197,0.11892067158508,1,0,1,0,1.10294363815101,1.90663998377807,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,9.59594750139067,-47.5870892621508,0.151231654103434,0.114112307270142,NaN,NaN,0.151312296557197,0.11892067158508,1,0,1,0,1.10294363815101,1.90663998377807,NaN,1,9.59594750139067,-47.5870892621508,0.151231654103434,0.114112307270142,NaN,NaN,0.151312296557197,0.11892067158508,1,0,1,0,1.10294363815101,1.90663998377807,6,1,9.59594750139067,-47.5870892621508,NaN,NaN,NaN,NaN,0.151312296557197,0.11892067158508,1,0,1,0,1.10294363815101,1.90663998377807,NaN,9.59594750139067,9.59594750139067,Ratio1,Exact
10,0.151568522146146,0.13419830663946,4,0.140756892496474,0.280407876220848,1,13.9602248280741,-40.0837947996672,NaN,NaN,NaN,NaN,0.151568522146146,0.13419830663946,1,5.61735733738222e-16,0.999999999999999,0,1.14829175842809,1.64684178700257,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,13.9602248280741,-40.0837947996672,0.151469819170392,0.128313070709141,NaN,NaN,0.151568522146146,0.13419830663946,1,5.61735733738222e-16,0.999999999999999,0,1.14829175842809,1.64684178700257,NaN,1,13.9602248280741,-40.0837947996672,0.151469819170392,0.128313070709141,NaN,NaN,0.151568522146146,0.13419830663946,1,5.61735733738222e-16,0.999999999999999,0,1.14829175842809,1.64684178700257,6,1,13.9602248280741,-40.0837947996675,NaN,NaN,NaN,NaN,0.151568522146146,0.13419830663946,1,0,1,0,1.14829175842809,1.64684178700257,NaN,13.9602248280741,13.9602248280741,Ratio1,Exact
