颜色序号,层级,方法,目标xyY,RGB混色点,白色_RGB比例,RGB权重,Ra,RGB点距精确点_xy,白色比例差_相对精确,RGB比例差_相对精确,Ra差_相对精确,RGB点_x,RGB点_y,白色比例,RGB比例,R权重,G权重,B权重
6,2,网格法,"(0.4576, 0.4619, 2.7920)","(0.47209, 0.47569)","W=0.0744, RGB=0.9256","R=0.8131, G=0.6017, B=0.0009",15.2485777425934,0.00146416675422502,-0.0048609316197854,0.00486093161978507,-0.401762746336601,0.472085761720576,0.475692293041639,0.0744342056941027,0.925565794305897,0.813095901922388,0.60169155535408,0.000929463171320472
6,3,纯RGB,"(0.4576, 0.4619, 2.7920)","(0.45760, 0.46190)","W=0.0000, RGB=1.0000","R=0.8637, G=0.6535, B=0.0152",9.09988981366668,0.0214657826882377,-0.0792951373138881,0.079295137313888,-6.55045067526332,0.4576,0.4619,0,1,0.86374899170821,0.653511413559218,0.0151620955740398
7,1,精确法,"(0.4959, 0.4449, 2.6830)","(0.50563, 0.45105)","W=0.0420, RGB=0.9580","R=0.9449, G=0.5440, B=0.0000",3.45602367748543,0,0,0,0,0.505630231512904,0.451046496354167,0.042048001649608,0.957951998350392,0.944884782316722,0.544039409371371,0
7,2,网格法,"(0.4959, 0.4449, 2.6830)","(0.50512, 0.45072)","W=0.0400, RGB=0.9600","R=0.9463, G=0.5454, B=0.0004",3.28005988733545,0.00060475531778004,-0.0020937846818298,0.00209378468182997,-0.17596379014998,0.505118943391645,0.450723520424038,0.0399542169677782,0.960045783032222,0.946253994203014,0.545440160364065,0.000384724595112311
7,3,纯RGB,"(0.4959, 0.4449, 2.6830)","(0.49590, 0.44490)","W=0.0000, RGB=1.0000","R=0.9724, G=0.5722, B=0.0077",-0.0754423391892729,0.0115089887794931,-0.042048001649608,0.042048001649608,-3.5314660166747,0.4959,0.4449,0,1,0.972381699336471,0.572169704029935,0.0077261528132823
8,1,精确法,"(0.5289, 0.4162, 2.5930)","(0.54293, 0.42159)","W=0.0535, RGB=0.9465","R=1.0699, G=0.4523, B=0.0000",0.0881278706098962,0,0,0,0,0.542932770037647,0.421585523299179,0.0535173169631415,0.946482683036858,1.06992467529044,0.452330818194705,0
8,2,网格法,"(0.5289, 0.4162, 2.5930)","(0.54210, 0.42126)","W=0.0505, RGB=0.9495","R=1.0718, G=0.4543, B=0.0005",-0.166211582920629,0.0008949740021902,-0.0029891930770442,0.00298919307704504,-0.254339453530525,0.542097216871533,0.421264853108495,0.0505281238860973,0.949471876113903,1.07181386014115,0.454263519467244,0.000530827904766299
8,3,纯RGB,"(0.5289, 0.4162, 2.5930)","(0.52890, 0.41620)","W=0.0000, RGB=1.0000","R=1.1037, G=0.4869, B=0.0095",-4.46025973975091,0.0150307184171443,-0.0535173169631415,0.053517316963142,-4.54838761036081,0.5289,0.4162,0,1,1.10374788505024,0.4869331285613,0.00950373043829967
9,1,精确法,"(0.5532, 0.3927, 2.5130)","(0.57343, 0.39750)","W=0.0716, RGB=0.9284","R=1.1650, G=0.3708, B=0.0000",1.91038971279432,0,0,0,0,0.573427965496475,0.397500885436715,0.071558184520179,0.928441815479821,1.16501395765076,0.370789197976503,0
9,2,网格法,"(0.5532, 0.3927, 2.5130)","(0.56197, 0.39478)","W=0.0325, RGB=0.9675","R=1.1889, G=0.3952, B=0.0067",-1.43228603314042,0.0117802247755028,-0.0390211837681937,0.0390211837681941,-3.34267574593474,0.561966139542008,0.394780546937396,0.0325370007519853,0.967462999248015,1.18891467294807,0.395240454216639,0.00671568302006754
