Index,IntSig_u,IntSig_v,Target_u1976,Target_v1976,Target_x,Target_y,Target_Y_lm,ExactValid,S10Valid,ExactRa,S10Ra,RaDiff_ExactMinusS10,ExactWhiteRatio,S10WhiteRatio,S10WeightedWhiteRatio,WhiteRatioDiff_ExactMinusS10,ExactRGBRatio,S10RGBRatio,S10OutputDeltaUv,ExactRGBPoint_x,ExactRGBPoint_y,ExactRGBPoint_Y_lm,S10RGBPoint_x,S10RGBPoint_y,S10RGBPoint_Y_lm,Exact_R_weight,Exact_G_weight,Exact_B_weight,S10_R_weight,S10_G_weight,S10_B_weight,S10NearestLutIndex0,S10CandidateCount,ErrorMessage
1,40,94,0.2,0.47,0.316901408450704,0.330985915492958,4,1,1,95.9621248461847,95.9620938051358,3.10410489277047e-05,0.913461012206582,0.913312244328303,0.913312244328303,0.000148767878279332,0.0865389877934178,0.086687755671697,0,0.209381243131284,0.214592472241521,0.346155951173671,0.209512295026081,0.214734339408808,0.346751022686788,0.01828739409462,0.0539059042301133,0.0343722274915199,0.018346743478416,0.0539894915995777,0.0343900385475524,454,3,
2,39,96,0.195,0.48,0.319672131147541,0.349726775956284,4,1,1,95.5935087915783,95.592734934516,0.000773857062284833,0.857797826880362,0.858684446767028,0.858684446767028,-0.000886619886665829,0.142202173119638,0.141315553232972,0,0.235098209511659,0.354705579702285,0.568808692478551,0.234470753344804,0.354742517579275,0.565262212931887,0.0267441886763465,0.0967464974208905,0.0218439059039842,0.026390480977188,0.0962483373012565,0.0217377564000485,421,3,
3,39,110,0.195,0.55,0.401601830663616,0.503432494279176,4,1,1,24.3593449943569,23.4594500956176,0.899894898739245,0.0376839655988781,0.0266634464746843,0.0266634464746843,0.0110205191241938,0.962316034401122,0.973336553525316,0,0.405519694238655,0.512317059449866,3.84926413760449,0.404328088576455,0.509614847399649,3.89334621410126,0.366559939771347,0.571609072760883,0,0.370956460221176,0.577801109740768,0.00131941845174045,524,3,
4,41,110,0.205,0.55,0.41647855530474,0.496613995485327,4,1,1,18.1761979579004,18.1761979579004,0,0.0252151905893185,0.0252151905893185,0.025941741505728,0,0.974784809410681,0.974784809410681,0,0.419568788404074,0.502112094644282,3.89913923764273,0.419568788404074,0.502112094644282,3.89913923764273,0.398644694455686,0.562868405843176,0,0.398644694455686,0.562868405843176,0,554,3,
5,43,110,0.215,0.55,0.430957683741648,0.489977728285078,4,1,1,12.3486534039685,12.3486534039685,0,0.0127464155797583,0.0127464155797583,0.0188904576588924,0,0.987253584420242,0.987253584420242,0,0.432734602212185,0.492548726005232,3.94901433768097,0.432734602212185,0.492548726005232,3.94901433768097,0.430729449140025,0.554127738925469,0,0.430729449140025,0.554127738925469,0,554,3,
6,48,109,0.24,0.545,0.457627118644068,0.461864406779661,4,1,1,8.64829937515839,8.13595925103845,0.512340124119941,0.0441307277034154,0.0383292814715538,0.0383292814715539,0.00580144623186159,0.955869272296585,0.961670718528446,0,0.465330323296351,0.46887188374338,3.82347708918634,0.464263530405634,0.467901440019735,3.84668287411378,0.486309243337648,0.495592735904427,0,0.488623669428609,0.498852361807679,0.000694571201123735,638,3,
7,54,109,0.27,0.545,0.495918367346939,0.444897959183674,4,1,1,-1.71781238507569,-1.97019892434388,0.252386539268196,0.00638122538089473,0.00355988867714663,0.00355988867714664,0.00282133670374811,0.993618774619105,0.996440111322853,0,0.497251046861022,0.445685345400712,3.97447509847642,0.496659141348145,0.445335630230858,3.98576044529141,0.583446574033355,0.469130166337058,0,0.584572116702815,0.470715374892612,0.00033778115745254,689,3,
8,61,108,0.305,0.54,0.528901734104046,0.416184971098266,4,1,1,-1.6811948437022,-2.88652899998045,1.20533415627825,0.0252975177904155,0.0119618756579965,0.0119618756579966,0.013335642132419,0.974702482209585,0.988038124342003,0,0.534982534567312,0.418277990907156,3.89880992883834,0.531730628709677,0.417158680477913,3.95215249736801,0.673633960215869,0.400363626866412,0,0.678954074693785,0.407856448965253,0.00159659378084042,758,3,
9,67,107,0.335,0.535,0.553211009174312,0.392660550458716,4,1,1,2.39164670545726,2.20644388237374,0.185202823083516,0.0509765691751213,0.0489741585224904,0.0489741585224904,0.0020024106526309,0.949023430824879,0.95102584147751,0,0.566584659428753,0.395322875922841,3.79609372329951,0.56602868699912,0.395212197123216,3.80410336591004,0.749014928311713,0.334804597690463,0,0.749813769027294,0.335929680880309,0.000239736216894082,818,3,
10,76,106,0.38,0.53,0.589655172413793,0.36551724137931,4,1,1,11.4932424400792,10.1469062888309,1.34633615124832,0.0577311887314507,0.0439558841419754,0.0439558841419754,0.0137753045894753,0.942268811268549,0.956044115858025,0,0.606146549342872,0.366585955986059,3.7690752450742,0.60202157885425,0.366318639543499,3.8241764634321,0.875761429040649,0.254402850592122,0,0.881256942241773,0.262142703358219,0.00164923184188274,884,3,
11,103,104,0.515,0.52,0.684638109305761,0.307237813884786,4,1,1,59.1752713822008,58.4467002172837,0.728571164917085,0.0122835440710861,0.00656369097041996,0.00656369097041994,0.00571985310066618,0.987716455928914,0.99343630902958,0,0.688478053761758,0.306782092826428,3.95086582371566,0.686679582546147,0.306995533727774,3.97374523611832,1.28927782062469,0.04735858132953,0,1.29155969599224,0.0505723629599327,0.000684802561223804,983,3,
12,101,101,0.505,0.505,0.653956834532374,0.290647482014389,4,1,1,59.9709273053158,59.9709273053158,0,0.0935251154962821,0.0935251154962821,0.0944201913959887,0,0.906474884503718,0.906474884503718,0,0.681035011323103,0.285724523697151,3.62589953801487,0.681035011323103,0.285724523697151,3.62589953801487,1.25187310097112,0,0.0162565807522369,1.25187310097112,0,0.0162565807522369,977,3,
13,98,99,0.49,0.495,0.628205128205128,0.282051282051282,4,1,1,58.8203280473286,58.8203280473286,0,0.117340761293518,0.117340761293518,0.122579754749229,0,0.882659238706482,0.882659238706482,0,0.65909246255538,0.275044335380046,3.53063695482593,0.65909246255538,0.275044335380046,3.53063695482593,1.21377215937123,0,0.0329844517173772,1.21377215937123,0,0.0329844517173772,965,3,
14,88,88,0.44,0.44,0.521052631578947,0.231578947368421,4,1,1,31.3473918798001,31.3473918798001,0,0.153824172687363,0.153824172687363,0.155851104545619,0,0.846175827312637,0.846175827312637,0,0.542382161172895,0.218237443413847,3.38470330925055,0.542382161172895,0.218237443413847,3.38470330925055,1.12881664150425,0,0.146145496417642,1.12881664150425,0,0.146145496417642,903,3,
15,49,36,0.245,0.18,0.208215297450425,0.0679886685552408,4,1,1,-99.1148558193073,-99.3614436288704,0.246587809563152,0.273899645736925,0.2680943074525,0.268094307452499,0.0058053382844257,0.726100354263075,0.7319056925475,0,0.201153738471395,0.052149909455088,2.9044014170523,0.201311658915676,0.0525041179069859,2.92762277019,0.508349012289818,0,1.64077886180095,0.510664991074304,0.00326181270889432,1.64147389897341,289,3,
16,39,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,The fixed-white to target ray does not hit the RGB gamut boundary after the target.
