序号,目标xyY,精确法_RGB点,精确法_白RGB比例,精确法_RGB权重,网格法_RGB点,网格法_白RGB比例,网格法_RGB权重,纯RGB点,纯RGB_白RGB比例,纯RGB_RGB权重,纯RGB_Ra,网格RGB点距精确点_xy,白色比例差_网格减精确,RGB比例差_网格减精确
15,"(0.2082, 0.0680, 1.2650)","(0.20311, 0.05657)","W=0.2016, RGB=0.7984","R=0.4486, G=0.0000, B=1.0474","(0.20496, 0.06071)","W=0.1305, RGB=0.8695","R=0.4705, G=0.0224, B=1.0535","(0.20820, 0.06800)","W=0.0000, RGB=1.0000","R=0.5107, G=0.0636, B=1.0648",-130.938885757346,0.0045319352256416,-0.071152512217944,0.0711525122179441
16,"(0.1486, 0.0288, 0.5840)","(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN","(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN","(0.14860, 0.02880)","W=0.0000, RGB=1.0000","R=NaN, G=NaN, B=NaN",NaN,NaN,NaN,NaN
17,"(0.1579, 0.1053, 1.7290)","(0.15790, 0.10530)","W=0.0000, RGB=1.0000","R=0.0532, G=0.4346, B=0.9436","(0.15461, 0.10079)","W=0.0609, RGB=0.9391","R=0.0276, G=0.4083, B=0.9363","(0.15790, 0.10530)","W=0.0000, RGB=1.0000","R=0.0532, G=0.4346, B=0.9436",21.0431109884352,0.00558398658866956,0.0608937647492952,-0.060893764749295
18,"(0.1586, 0.1409, 1.9570)","(0.15860, 0.14090)","W=0.0000, RGB=1.0000","R=0.0457, G=0.5529, B=0.7516","(0.15692, 0.13895)","W=0.0235, RGB=0.9765","R=0.0345, G=0.5415, B=0.7485","(0.15860, 0.14090)","W=0.0000, RGB=1.0000","R=0.0457, G=0.5529, B=0.7516",30.1965536923024,0.00257287568206773,0.023457099236762,-0.023457099236762
19,"(0.1580, 0.1664, 2.0940)","(0.15800, 0.16640)","W=0.0000, RGB=1.0000","R=0.0353, G=0.6237, B=0.6518","(0.15409, 0.16244)","W=0.0456, RGB=0.9544","R=0.0120, G=0.5999, B=0.6453","(0.15800, 0.16640)","W=0.0000, RGB=1.0000","R=0.0353, G=0.6237, B=0.6518",31.2780645922979,0.00556872556668586,0.0456438035146735,-0.045643803514674
20,"(0.1609, 0.2060, 2.2930)","(0.16090, 0.20600)","W=0.0000, RGB=1.0000","R=0.0430, G=0.7127, B=0.5334","(0.15519, 0.20147)","W=0.0541, RGB=0.9459","R=0.0128, G=0.6818, B=0.5249","(0.16090, 0.20600)","W=0.0000, RGB=1.0000","R=0.0430, G=0.7127, B=0.5334",37.4971530879328,0.00729085677158804,0.0541278692197876,-0.054127869219788
21,"(0.1667, 0.2407, 2.4490)","(0.16670, 0.24070)","W=0.0000, RGB=1.0000","R=0.0646, G=0.7745, B=0.4505","(0.16307, 0.23849)","W=0.0309, RGB=0.9691","R=0.0461, G=0.7557, B=0.4453","(0.16670, 0.24070)","W=0.0000, RGB=1.0000","R=0.0646, G=0.7745, B=0.4505",45.4163194716924,0.00424985546531783,0.0308514076321183,-0.030851407632118
22,"(0.1667, 0.2828, 2.5860)","(0.16670, 0.28280)","W=0.0000, RGB=1.0000","R=0.0550, G=0.8417, B=0.3692","(0.15652, 0.27925)","W=0.0708, RGB=0.9292","R=0.0103, G=0.7961, B=0.3567","(0.16670, 0.28280)","W=0.0000, RGB=1.0000","R=0.0550, G=0.8417, B=0.3692",44.1596231094779,0.0107803732973848,0.0708199192375747,-0.070819919237575
23,"(0.1766, 0.3402, 2.7720)","(0.17660, 0.34020)","W=0.0000, RGB=1.0000","R=0.0836, G=0.9127, B=0.2798","(0.15884, 0.34028)","W=0.1041, RGB=0.8959","R=0.0133, G=0.8407, B=0.2600","(0.17660, 0.34020)","W=0.0000, RGB=1.0000","R=0.0836, G=0.9127, B=0.2798",49.2828223608565,0.0177567292074337,0.104111650858771,-0.104111650858771
24,"(0.1800, 0.3800, 2.8720)","(0.18000, 0.38000)","W=0.0000, RGB=1.0000","R=0.0874, G=0.9558, B=0.2298","(0.15965, 0.38553)","W=0.1073, RGB=0.8927","R=0.0122, G=0.8789, B=0.2087","(0.18000, 0.38000)","W=0.0000, RGB=1.0000","R=0.0874, G=0.9558, B=0.2298",46.7380323446331,0.021091367810776,0.107344818517067,-0.107344818517066
25,"(0.1808, 0.4144, 2.9310)","(0.18080, 0.41440)","W=0.0000, RGB=1.0000","R=0.0825, G=0.9855, B=0.1921","(0.15724, 0.42630)","W=0.1124, RGB=0.8876","R=0.0022, G=0.9034, B=0.1695","(0.18080, 0.41440)","W=0.0000, RGB=1.0000","R=0.0825, G=0.9855, B=0.1921",43.2029873030783,0.0263989564992954,0.112355534660832,-0.112355534660832
26,"(0.1861, 0.5109, 3.1060)","(0.18610, 0.51090)","W=0.0000, RGB=1.0000","R=0.0816, G=1.0633, B=0.1084","(0.18350, 0.51401)","W=0.0119, RGB=0.9881","R=0.0726, G=1.0541, B=0.1059","(0.18610, 0.51090)","W=0.0000, RGB=1.0000","R=0.0816, G=1.0633, B=0.1084",35.3306427986179,0.00405385578967992,0.0118546541002908,-0.011854654100291
27,"(0.1934, 0.6418, 3.2690)","(0.19340, 0.64180)","W=0.0000, RGB=1.0000","R=0.0807, G=1.1364, B=0.0263","(0.19156, 0.64591)","W=0.0071, RGB=0.9929","R=0.0750, G=1.1307, B=0.0248","(0.19340, 0.64180)","W=0.0000, RGB=1.0000","R=0.0807, G=1.1364, B=0.0263",15.6641427002602,0.00450529485520974,0.00709618362399396,-0.007096183623994
28,"(0.2368, 0.6205, 3.2180)","(0.23680, 0.62050)","W=0.0000, RGB=1.0000","R=0.1901, G=1.0753, B=0.0206","(0.22793, 0.64752)","W=0.0480, RGB=0.9520","R=0.1524, G=1.0368, B=0.0100","(0.23680, 0.62050)","W=0.0000, RGB=1.0000","R=0.1901, G=1.0753, B=0.0206",31.7801878265271,0.0284423979528087,0.0480015014469296,-0.0480015014469301
29,"(0.3092, 0.5649, 3.1110)","(0.30529, 0.60927)","W=0.0988, RGB=0.9012","R=0.3189, G=0.8785, B=0.0000","(0.30695, 0.59045)","W=0.0612, RGB=0.9388","R=0.3474, G=0.9077, B=0.0080","(0.30920, 0.56490)","W=0.0000, RGB=1.0000","R=0.3938, G=0.9552, B=0.0211",52.9714340231462,0.0188914745657962,-0.0376555009039147,0.037655500903914
30,"(0.3696, 0.5362, 3.0010)","(0.37355, 0.55536)","W=0.0562, RGB=0.9438","R=0.5212, G=0.8079, B=0.0000","(0.37256, 0.55054)","W=0.0430, RGB=0.9570","R=0.5308, G=0.8177, B=0.0027","(0.36960, 0.53620)","W=0.0000, RGB=1.0000","R=0.5623, G=0.8499, B=0.0116",40.4230166160722,0.00492214942031158,-0.0131792454726266,0.0131792454726269
