项目,数量,最小Δuv,最大Δuv,平均Δuv
全部近邻点,1800,0.000251553979249787,0.0504599061773579,0.0193492828612591
各目标色的最大Δuv,300,0.0219846249137096,0.0504599061773579,0.0280852497714961
各目标色的最小Δuv,300,0.000251553979249787,0.0123947699737606,0.00728734000107822
各目标色的平均Δuv,300,0.0178361919371586,0.0348973830598215,0.0193492828612591
