GridI,GridJ,GridK,Target_u1976,Target_v1976,Best_RGBPoint_u1976,Best_RGBPoint_v1976,Best_Ra,Valid
0,0,150,0.200596937870582,0.0836731716958736,0.200596937870582,0.0836731716958736,-59.6614241730296,1
0,1,149,0.196914468880601,0.0954024030008738,0.196914468880601,0.0954024030008739,-53.0831728163098,1
0,2,148,0.19335994543881,0.106724108014887,0.19335994543881,0.106724108014887,-47.4499092960778,1
0,3,147,0.189926813300809,0.11765916301652,0.189926813300809,0.11765916301652,-42.0007675821799,1
0,4,146,0.186608958377138,0.128227042323053,0.186608958377138,0.128227042323053,-36.7126468817171,1
0,5,145,0.183400670394717,0.138445934034362,0.183400670394717,0.138445934034362,-31.6627102902723,1
0,6,144,0.180296610099877,0.148332844496311,0.180296610099877,0.148332844496311,-26.911665390846,1
0,7,143,0.177291779606726,0.157903692745781,0.177291779606726,0.157903692745781,-22.4911837492516,1
0,8,142,0.174381495544467,0.167173396040598,0.174381495544467,0.167173396040598,-18.4105330902132,1
0,9,141,0.171561364700198,0.176155947440974,0.171561364700198,0.176155947440974,-14.664416772092,1
0,10,140,0.16882726189076,0.184864486291078,0.16882726189076,0.184864486291078,-11.2387943755006,1
0,11,139,0.166175309829217,0.193311362347397,0.166175309829217,0.193311362347397,-8.11470705075214,1
0,12,138,0.163601860779317,0.201508194212117,0.163601860779317,0.201508194212117,-5.2706822151842,1
0,13,137,0.161103479815373,0.209465922652961,0.161103479815373,0.209465922652961,-2.68423573881271,1
0,14,136,0.15867692952604,0.217194859324049,0.15867692952604,0.217194859324049,-0.332833494740491,1
0,15,135,0.156319156018716,0.224704731344003,0.156319156018716,0.224704731344003,1.80546551596866,1
0,16,134,0.154027276097378,0.232004722136538,0.154027276097378,0.232004722136538,3.75156362044619,1
0,17,133,0.151798565500635,0.239103508894071,0.151798565500635,0.239103508894071,5.52501884499347,1
0,18,132,0.149630448099118,0.246009296985698,0.149630448099118,0.246009296985698,7.14385325419094,1
0,19,131,0.147520485962138,0.252729851596413,0.147520485962138,0.252729851596413,8.62445971706436,1
0,20,130,0.1454663702131,0.259272526854035,0.1454663702131,0.259272526854035,9.98159130842844,1
0,21,129,0.143465912601539,0.265644292673566,0.143465912601539,0.265644292673566,11.2284147726227,1
0,22,128,0.141517037727118,0.271851759524958,0.141517037727118,0.271851759524958,12.3766083863167,1
0,23,127,0.139617775857492,0.277901201309322,0.139617775857492,0.277901201309322,13.4364860966245,1
0,24,126,0.137766256287788,0.283798576510003,0.137766256287788,0.283798576510003,14.4171331822379,1
0,25,125,0.135960701194649,0.289549547768408,0.135960701194649,0.289549547768408,15.3265426896306,1
0,26,124,0.134199419942384,0.295159500019788,0.134199419942384,0.295159500019788,16.1717456272558,1
0,27,123,0.132480803802905,0.300633557311052,0.132480803802905,0.300633557311052,16.9589309045451,1
0,28,122,0.13080332105478,0.305976598411039,0.13080332105478,0.305976598411039,17.6935531783089,1
0,29,121,0.129165512430029,0.311193271313188,0.129165512430029,0.311193271313188,18.3804282104002,1
0,30,120,0.127565986880196,0.316288006721223,0.127565986880196,0.316288006721223,19.0238162127101,1
0,31,119,0.126003417635902,0.321265030600111,0.126003417635902,0.321265030600111,19.6274941253013,1
0,32,118,0.1244765385364,0.326128375866986,0.1244765385364,0.326128375866986,20.1948179785242,1
0,33,117,0.122984140607793,0.33088189329004,0.122984140607793,0.33088189329004,20.7287765322649,1
0,34,116,0.121525068870493,0.335529261657281,0.121525068870493,0.335529261657281,21.2320373352128,1
0,35,115,0.120098219358182,0.340073997271579,0.120098219358182,0.340073997271579,21.7069862498207,1
0,36,114,0.118702536332127,0.344519462823523,0.118702536332127,0.344519462823523,22.1557613725366,1
0,37,113,0.117337009676055,0.348868875689128,0.117337009676055,0.348868875689128,22.5802821603801,1
0,38,112,0.116000672458096,0.35312531569543,0.116000672458096,0.35312531569543,22.9822744628575,1
0,39,111,0.114692598647418,0.357291732393359,0.114692598647418,0.357291732393359,23.3632920568995,1
0,40,110,0.113411900974222,0.361370951873974,0.113411900974222,0.361370951873974,23.724735193445,1
0,41,109,0.112157728922714,0.365365683161168,0.112157728922714,0.365365683161168,24.0678665876076,1
0,42,108,0.110929266847501,0.369278524211235,0.110929266847501,0.369278524211235,24.3938252192217,1
0,43,107,0.10972573220465,0.373111967547212,0.10972573220465,0.373111967547212,24.7036382559815,1
0,44,106,0.108546373889354,0.376868405553672,0.108546373889354,0.376868405553672,24.9982313661233,1
0,45,105,0.107390470672779,0.380550135455618,0.107390470672779,0.380550135455618,25.2784376506241,1
0,46,104,0.106257329731251,0.384159364003234,0.106257329731251,0.384159364003234,25.5450053951347,1
0,47,103,0.105146285261493,0.387698211882574,0.105146285261493,0.387698211882574,25.7986048184982,1
0,48,102,0.104056697176087,0.391168717870723,0.104056697176087,0.391168717870723,26.0398339769132,1
0,49,101,0.10298794987379,0.394572842752519,0.10298794987379,0.394572842752519,26.2692239698943,1
