Index,Target_x,Target_y,Target_Y_lm,Target_u1976,Target_v1976,Exact_Ra,S14_Ra,BoundaryMix_Ra,RaDiff_ExactMinusS14,RaDiff_ExactMinusBoundaryMix,RaDiff_S14MinusBoundaryMix,AbsRaDiff_S14MinusBoundaryMix,BetterApproxMethod,Exact_SingleWhiteRatio,S14_LocalFitPredictedWhiteRatio,S14_SingleWhiteRatio,BoundaryMix_SingleWhiteRatio,S14_LocalFitFallbackUsed,S14_LocalFitConditionValue
1,0.226057658082383,0.543449795489374,4,0.0997025574270471,0.539298263690928,48.7220257349937,48.6983443194325,37.5287892973256,0.0236814155611924,11.1932364376681,11.169555022107,11.169555022107,S14,0,0.00121807938521531,0.00121807938521535,0.291751082681506,0,4.17819463541144e-05
2,0.413423788078613,0.474963696344639,4,0.210053936719794,0.542973078616637,27.3620017618966,27.3620017618966,27.3620017618966,0,0,0,0,Tie,0.107640535586376,0.109271059580234,0.107640535586376,0.107640535586376,0,5.78295587823609e-05
3,0.187150871526784,0.612529568052495,4,0.0750400464578487,0.552599918205543,20.0599971398086,20.0599971398086,14.099641674291,0,5.96035546551753,5.96035546551753,5.96035546551753,S14,0,-1.69196994842076e-17,0,0.146173580080655,0,4.37240731176533e-05
4,0.254063898308476,0.429430857303905,4,0.132930012413443,0.50554038388536,73.7107360850959,73.7107267014577,64.7339888268811,9.38363822911015e-06,8.97674725821484,8.97673787457661,8.97673787457661,S14,0.251551778139282,0.251629587028269,0.251629587028269,0.478512517312528,0,3.40641064932232e-05
5,0.591909127182811,0.370192571261719,4,0.3783077906712,0.532353931511063,8.42747773670624,8.42747773670624,8.42747773670624,0,0,0,0,Tie,0.0294241360285916,0.0307444629386926,0.0294241360285916,0.0294241360285916,0,2.88158928943615e-05
6,0.409125077278367,0.49594924293809,4,0.201213818531348,0.548809287552335,22.9267984330757,22.9267984330757,22.9267984330757,0,0,0,0,Tie,0.0448349206336535,0.0465353803199294,0.0448349206336535,0.0448349206336535,0,8.27067213712067e-05
7,0.212261730123594,0.375317720760103,4,0.11993392243797,0.477146701698475,67.7447402054747,67.6460759421833,58.2134064146298,0.0986642632913544,9.53133379084493,9.43266952755358,9.43266952755358,S14,0.0756525338333964,0.0893719911516337,0.0893719911516337,0.335337717070204,0,7.1915793145732e-05
8,0.294518200703645,0.248549138402641,4,0.21842239172406,0.414743701976996,70.5884322161943,70.5426060126703,70.5884322161943,0.0458262035240438,0,-0.0458262035240438,0.0458262035240438,BoundaryMix,0.911979605473197,0.911333896746719,0.911333896746719,0.911979605473197,0,2.53130647792115e-05
9,0.168959273511691,0.312720691156618,4,0.105357064243899,0.438753670299047,50.8780224549876,50.8211079388356,44.2331353296457,0.056914516152041,6.64488712534185,6.58797260918981,6.58797260918981,S14,0,0.00159738385785932,0.00159738385785934,0.137794521560676,0,6.04209116040278e-05
10,0.529442673329839,0.269581015732952,4,0.409145124088668,0.468738105753161,40.9821774124244,40.8882036227648,40.9821774124244,0.0939737896595929,0,-0.0939737896595929,0.0939737896595929,BoundaryMix,0.321066865706923,0.320183692538953,0.320183692538953,0.321066865706923,0,1.97999058475141e-05
11,0.483622678852146,0.317599469084542,4,0.331024613086603,0.489120554983973,49.5247276692937,48.5840169359172,49.5247276692937,0.940710733376484,0,-0.940710733376484,0.940710733376484,BoundaryMix,0.604993168148574,0.594989439695703,0.594989439695703,0.604993168148574,0,3.58686607895536e-05
12,0.299254791929613,0.382597746531835,4,0.171182152437038,0.492427496414627,89.6464025724296,89.6460782857684,84.7626662179975,0.00032428666114015,4.88373635443202,4.88341206777088,4.88341206777088,S14,0.63699246469081,0.636511326966051,0.636511326966051,0.750337658888411,0,4.55761255105619e-05
13,0.2618305280844,0.365454037979487,4,0.152631093233949,0.479333758142126,83.7780456866799,83.7779405149028,78.2284272684105,0.000105171777192936,5.54961841826946,5.54951324649227,5.54951324649227,S14,0.448608175385081,0.448179361869392,0.448179361869392,0.594119032439536,0,2.33683634175314e-05
14,0.148118126199157,0.29052341827336,4,0.0957137673650566,0.422405792353792,30.0447600223209,30.0447600223209,29.3584164443504,0,0.686343577970558,0.686343577970558,0.686343577970558,S14,0,0,0,0.0123726052091176,0,1.01980892395538e-05
15,0.297980684260246,0.282674619221386,4,0.205640988331748,0.438925591733961,90.671141543629,88.7595835796365,90.671141543629,1.91155796399249,0,-1.91155796399249,1.91155796399249,BoundaryMix,0.974205743243036,0.938032778447877,0.938032778447877,0.974205743243036,0,3.98689498631895e-05
16,0.213571397547852,0.137453202809055,4,0.202327279591451,0.292987258866572,60.9066250096718,60.9013860363966,60.045650260472,0.00523897327521183,0.860974749199869,0.855735775924657,0.855735775924657,S14,0.758150200586071,0.751063244108937,0.751063244108937,0.859408799058112,0,5.88112690244984e-06
17,0.262900679795817,0.247807563960567,4,0.193029380818845,0.409382039289672,89.609800349786,89.4152421055304,89.609800349786,0.194558244255674,0,-0.194558244255674,0.194558244255674,BoundaryMix,0.863901924065754,0.859066042288964,0.859066042288964,0.863901924065754,0,3.13963898882966e-05
18,0.352048450045644,0.348047727791204,4,0.217566482506611,0.483961567527992,93.6374489511404,91.730892202851,93.6374489511404,1.90655674828938,0,-1.90655674828938,1.90655674828938,BoundaryMix,0.943791861809511,0.918970249249073,0.918970249249073,0.943791861809511,0,2.4115665909286e-05
19,0.272801774604697,0.559468256867174,4,0.119023260210196,0.549215290219834,50.9227172386391,50.9216357911134,50.8595479416488,0.0010814475257277,0.0631692969903241,0.0620878494645964,0.0620878494645964,S14,0.116681689549105,0.113217184770483,0.113217184770483,0.142375523497128,0,3.2728531905228e-05
20,0.429164509349102,0.428815150658911,4,0.235563520896964,0.529586464236874,29.6793693757796,29.6793693757796,29.6793693757796,0,0,0,0,Tie,0.250151645309479,0.251844744548965,0.250151645309479,0.250151645309479,0,5.06190516939755e-05
21,0.319951355553108,0.551786040918285,4,0.142493033322081,0.552920770732283,48.2518331462536,48.2518331462536,48.2518331462536,0,0,0,0,Tie,0.0664924764812535,0.0686398852806348,0.0664924764812535,0.0664924764812535,0,0.000127397493439771
22,0.312456285444613,0.541432456465178,4,0.140868590433154,0.549226783545346,55.3682539181714,55.3682539181714,55.3682539181714,0,0,0,0,Tie,0.114952671491667,0.116506714635757,0.114952671491667,0.114952671491667,0,7.29894069422838e-05
23,0.20547910923285,0.216026416579696,4,0.158629516262444,0.375237043328846,84.5466869177873,84.546149213507,75.6639536430414,0.000537704280290541,8.88273327474592,8.88219557046563,8.88219557046563,S14,0.308820970008478,0.308120899939067,0.308120899939067,0.493059845126504,0,3.03192280423037e-05
24,0.394137588621468,0.339029427528113,4,0.251039933940477,0.485864167697082,73.3586151928735,69.6964701204744,73.3586151928735,3.66214507239903,0,-3.66214507239903,3.66214507239903,BoundaryMix,0.854575548657107,0.814765839821644,0.814765839821644,0.854575548657107,0,4.04927769258947e-05
25,0.27671373760972,0.448569656130644,4,0.141371466926209,0.515636265190545,76.1862515220857,76.1862650685863,67.7632757085955,-1.35465006536606e-05,8.4229758134902,8.42298935999085,8.42298935999085,S14,0.338104510087233,0.338332495266362,0.338332495266362,0.553313522084291,0,2.86313519885698e-05
26,0.183588639728677,0.241320078591446,4,0.132826773989579,0.392840085680502,69.313489073593,68.2559362634179,56.5299959737507,1.05755281017505,12.7834930998423,11.7259402896672,11.7259402896672,S14,0,0.040456655990756,0.040456655990756,0.278067683348288,0,3.39774167542889e-05
27,0.409688662509835,0.505090938819895,4,0.198836632987589,0.551562269938149,18.407081461113,18.407081461113,18.407081461113,0,0,0,0,Tie,0.0134413774107422,0.0141225054447424,0.0134413774107422,0.0134413774107422,0,1.2118972117339e-05
28,0.204505455729323,0.259643270044382,4,0.143343899100243,0.409481139678054,79.0033423006177,79.0033310890078,70.9420239741028,1.12116099444393e-05,8.06131832651491,8.06130711490496,8.06130711490496,S14,0.215376870848237,0.21552382281655,0.21552382281655,0.410465468874036,0,2.94649639477232e-05
29,0.553130473511308,0.278590601792605,4,0.42249289513834,0.478785295656628,45.564285910132,45.4554971894475,45.564285910132,0.108788720684451,0,-0.108788720684451,0.108788720684451,BoundaryMix,0.297100611061279,0.296060561906295,0.296060561906296,0.297100611061279,0,1.911675371348e-05
30,0.517936852066005,0.303558520284384,4,0.369504327401787,0.487267742079018,45.0727083775578,44.9622886322614,45.0727083775578,0.110419745296397,0,-0.110419745296397,0.110419745296397,BoundaryMix,0.480904672404305,0.479785528175509,0.479785528175509,0.480904672404305,0,3.30463763573344e-05
31,0.357445539463451,0.183315383801255,4,0.318799576700234,0.367865690543964,-2.31336090744397,-2.42023956994366,-2.31336090744397,0.106878662499693,0,-0.106878662499693,0.106878662499693,BoundaryMix,0.451278996385319,0.450164404187741,0.450164404187741,0.451278996385319,0,1.59866969653572e-05
32,0.329960444595632,0.243390463964188,4,0.25088401764232,0.416387029186156,40.905372934414,40.8858657509812,40.905372934414,0.0195071834328431,0,-0.0195071834328431,0.0195071834328431,BoundaryMix,0.793054545504338,0.792843130406997,0.792843130406996,0.793054545504338,0,7.30964453631729e-06
33,0.208129305502233,0.55882538333187,4,0.0896177554017347,0.541401519062639,39.7427734770909,39.7427734770909,30.2823761776912,0,9.46039729939967,9.46039729939967,9.46039729939967,S14,0,-0.000206777525988248,0,0.22555657193733,0,4.55327922180325e-06
