序号,目标_x,目标_y,目标_Y,射线扫描最大_Ra,纯RGB_Ra,纯RGB是否等于射线最大,网格法_Ra,Ra差值_射线减网格,Ra绝对差值,最终最大_Ra,最大值来源
1,0.3169,0.331,3.231,96.8106602575696,24.5676734142887,0,89.5273885626166,7.28327169495299,7.28327169495299,96.8106602575696,RayScan
2,0.3197,0.3497,3.198,96.0056965723212,30.3872718834851,0,92.7398006311438,3.26589594117742,3.26589594117742,96.0056965723212,RayScan
3,0.4016,0.5034,2.918,36.4846687402328,30.5228985941649,0,30.5228985941649,5.96177014606788,5.96177014606788,36.4846687402328,RayScan
4,0.4165,0.4966,2.888,29.8084930186503,24.6256181904508,0,24.6256181904508,5.18287482819952,5.18287482819952,29.8084930186503,RayScan
5,0.431,0.49,2.851,23.413488884748,19.0921776497549,0,19.0921776497549,4.3213112349931,4.3213112349931,23.413488884748,RayScan
6,0.4576,0.4619,2.792,15.65034048893,9.09988981366668,0,9.09988981366668,6.55045067526335,6.55045067526335,15.65034048893,RayScan
7,0.4959,0.4449,2.683,3.45602367748543,-0.0754423391892729,0,-0.0754423391634838,3.53146601664891,3.53146601664891,3.45602367748543,RayScan
8,0.5289,0.4162,2.593,0.0881278706098962,-4.46025973975091,0,-4.46025973975091,4.54838761036081,4.54838761036081,0.0881278706098962,RayScan
9,0.5532,0.3927,2.513,1.91038971279432,-4.21472168962119,0,-4.21472168962119,6.12511140241552,6.12511140241552,1.91038971279432,RayScan
10,0.5897,0.3655,2.375,8.97697380375128,2.81964373336255,0,2.81964373336255,6.15733007038873,6.15733007038873,8.97697380375128,RayScan
11,0.6846,0.3072,1.942,57.1328571867902,55.6185382931569,0,55.6185382931569,1.51431889363322,1.51431889363322,57.1328571867902,RayScan
12,0.654,0.2906,1.907,63.2670500639526,48.3415529568454,0,56.4543062866869,6.81274377726569,6.81274377726569,63.2670500639526,RayScan
13,0.6282,0.2821,1.915,56.2795511556281,38.9758759889477,0,56.020077821121,0.259473334507121,0.259473334507121,56.2795511556281,RayScan
14,0.5211,0.2316,1.835,26.5455525587962,9.8885671071531,0,25.1853283225516,1.36022423624467,1.36022423624467,26.5455525587962,RayScan
15,0.2082,0.068,1.265,-123.451604357103,-130.938885757346,0,-123.803523692607,0.351919335503766,0.351919335503766,-123.451604357103,RayScan
16,0.1486,0.0288,0.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Invalid
17,0.1579,0.1053,1.729,21.0431109884352,21.0431109884352,1,21.0431109884352,0,0,21.0431109884352,RayScan_equals_PureRGB
18,0.1586,0.1409,1.957,30.1965536923023,30.1965536923024,1,30.1965536923023,0,0,30.1965536923023,RayScan_equals_PureRGB
19,0.158,0.1664,2.094,31.2780645922979,31.2780645922979,1,31.2780645922979,0,0,31.2780645922979,RayScan_equals_PureRGB
20,0.1609,0.206,2.293,37.4971530879328,37.4971530879328,1,37.4971530879328,0,0,37.4971530879328,RayScan_equals_PureRGB
21,0.1667,0.2407,2.449,45.4163194716924,45.4163194716924,1,45.4163194716924,0,0,45.4163194716924,RayScan_equals_PureRGB
22,0.1667,0.2828,2.586,44.1596231094779,44.1596231094779,1,44.1596231094779,0,0,44.1596231094779,RayScan_equals_PureRGB
23,0.1766,0.3402,2.772,49.2828223608565,49.2828223608565,1,49.2828223608565,0,0,49.2828223608565,RayScan_equals_PureRGB
24,0.18,0.38,2.872,46.7380323446331,46.7380323446331,1,46.7380323446331,0,0,46.7380323446331,RayScan_equals_PureRGB
25,0.1808,0.4144,2.931,43.2029885440329,43.2029873030783,1,43.2029885440329,0,0,43.2029885440329,RayScan_equals_PureRGB
26,0.1861,0.5109,3.106,35.3306427986179,35.3306427986179,1,35.3306427986179,0,0,35.3306427986179,RayScan_equals_PureRGB
27,0.1934,0.6418,3.269,15.6641427002602,15.6641427002602,1,15.6641427002602,0,0,15.6641427002602,RayScan_equals_PureRGB
28,0.2368,0.6205,3.218,31.7801878265271,31.7801878265271,1,31.7801878265271,0,0,31.7801878265271,RayScan_equals_PureRGB
29,0.3092,0.5649,3.111,54.682282878146,52.9714340231462,0,52.9714340231462,1.7108488549998,1.7108488549998,54.682282878146,RayScan
30,0.3696,0.5362,3.001,43.9056553306559,40.4230166160722,0,40.4230166160722,3.48263871458365,3.48263871458365,43.9056553306559,RayScan
