颜色序号,目标xyY,层级,方法,RGB混色点,白色_RGB比例,RGB权重,Ra,RGB点距精确点_xy,白色比例差_相对精确,RGB比例差_相对精确,Ra差_相对精确
,"",3,纯RGB,"(0.55320, 0.39270)","W=0.0000, RGB=1.0000","R=1.2088, G=0.4156, B=0.0123",-4.21472168962119,0.0207898794874584,-0.071558184520179,0.071558184520179,-6.12511140241551
10,"(0.5897, 0.3655, 2.3750)",1,精确法,"(0.61123, 0.36765)","W=0.0709, RGB=0.9291","R=1.3006, G=0.2711, B=0.0000",8.97697380375128,0,0,0,0
,"",2,网格法,"(0.60228, 0.36675)","W=0.0428, RGB=0.9572","R=1.3169, G=0.2877, B=0.0046",6.53247939256833,0.00899475890149308,-0.0281057547561479,0.028105754756148,-2.44449441118295
,"",3,纯RGB,"(0.58970, 0.36550)","W=0.0000, RGB=1.0000","R=1.3417, G=0.3130, B=0.0115",2.81964373336255,0.0216343297605647,-0.0708622465815375,0.0708622465815379,-6.15733007038873
11,"(0.6846, 0.3072, 1.9420)",1,精确法,"(0.68818, 0.30688)","W=0.0110, RGB=0.9890","R=1.5882, G=0.0532, B=0.0000",57.1328571867902,0,0,0,0
,"",2,网格法,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,NaN,NaN,NaN,NaN
,"",3,纯RGB,"(0.68460, 0.30720)","W=0.0000, RGB=1.0000","R=1.5934, G=0.0585, B=0.0015",55.6185382931569,0.00359000285568484,-0.0110021072327567,0.011002107232757,-1.51431889363329
12,"(0.6540, 0.2906, 1.9070)",1,精确法,"(0.68986, 0.28520)","W=0.1161, RGB=0.8839","R=1.5055, G=0.0000, B=0.0111",63.2670500639526,0,0,0,0
,"",2,网格法,"(0.67957, 0.28675)","W=0.0852, RGB=0.9148","R=1.5199, G=0.0147, B=0.0152",59.654534044481,0.0104055403155253,-0.0308862519009097,0.03088625190091,-3.61251601947161
,"",3,纯RGB,"(0.65400, 0.29060)","W=0.0000, RGB=1.0000","R=1.5595, G=0.0552, B=0.0263",48.3415529568454,0.0362636105706725,-0.116109463622322,0.116109463622322,-14.9254971071072
13,"(0.6282, 0.2821, 1.9150)",1,精确法,"(0.66729, 0.27460)","W=0.1391, RGB=0.8609","R=1.4655, G=0.0000, B=0.0271",56.2795511556281,0,0,0,0
,"",2,网格法,"(0.65326, 0.27729)","W=0.0930, RGB=0.9070","R=1.4870, G=0.0220, B=0.0332",50.6197198936334,0.0142802863115138,-0.046042332761709,0.046042332761708,-5.6598312619947
,"",3,纯RGB,"(0.62820, 0.28210)","W=0.0000, RGB=1.0000","R=1.5304, G=0.0664, B=0.0454",38.9758759889477,0.0397988580284625,-0.139068820167715,0.139068820167714,-17.3036751666804
14,"(0.5211, 0.2316, 1.8350)",1,精确法,"(0.54598, 0.21762)","W=0.1681, RGB=0.8319","R=1.3108, G=0.0000, B=0.1310",26.5455525587962,0,0,0,0
,"",2,网格法,"(0.53738, 0.22245)","W=0.1146, RGB=0.8854","R=1.3347, G=0.0245, B=0.1377",21.2768012604381,0.00986418555220269,-0.053570540445948,0.053570540445948,-5.2687512983581
,"",3,纯RGB,"(0.52110, 0.23160)","W=0.0000, RGB=1.0000","R=1.3860, G=0.0769, B=0.1521",9.8885671071531,0.0285380197439964,-0.168122615105962,0.168122615105962,-16.6569854516431
15,"(0.2082, 0.0680, 1.2650)",1,精确法,"(0.20311, 0.05657)","W=0.2016, RGB=0.7984","R=0.4486, G=0.0000, B=1.0474",-123.451604357103,0,0,0,0
,"",2,网格法,"(0.20454, 0.05977)","W=0.1468, RGB=0.8532","R=0.4655, G=0.0173, B=1.0521",-125.370897826894,0.00350341994921801,-0.054819797337946,0.0548197973379471,-1.919293469791
,"",3,纯RGB,"(0.20820, 0.06800)","W=0.0000, RGB=1.0000","R=0.5107, G=0.0636, B=1.0648",-130.938885757346,0.0125072569891458,-0.201636905802917,0.201636905802917,-7.48728140024299
16,"(0.1486, 0.0288, 0.5840)",1,精确法,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,0,0,0,0
,"",2,网格法,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,NaN,NaN,NaN,NaN
,"",3,纯RGB,"(0.14860, 0.02880)","W=0.0000, RGB=1.0000","R=NaN, G=NaN, B=NaN",NaN,NaN,NaN,NaN,NaN
17,"(0.1579, 0.1053, 1.7290)",1,精确法,"(0.15790, 0.10530)","W=0.0000, RGB=1.0000","R=0.0532, G=0.4346, B=0.9436",21.0431109884352,0,0,0,0
