Index,Target xyY,Method,Ra,RGB Point,White_RGB Ratio,RGB Weights,RaDiff_ExactMinusMethod,Note,WhiteRatio,RGBRatio,BestApproxSource
,,Ratio1,82.2504003677384,"(0.18549, 0.20633)","W=0.1813, RGB=0.8187","R=0.2469, G=0.9489, B=0.7315",0.165516390189609,Compare to Exact,0.181275436183085,0.818724563816915,RatioK
,,RatioK,82.4158665623037,"(0.18200, 0.20309)","W=0.2133, RGB=0.7867","R=0.2157, G=0.9170, B=0.7227",5.01956242970891e-05,Compare to Exact,0.213274462334475,0.786725537665525,RatioK
,,PureRGB,77.4059940843468,"(0.20252, 0.22213)","W=0.0000, RGB=1.0000","R=0.4236, G=1.1297, B=0.7812",5.0099226735812,Compare to Exact,0,1,RatioK
61,"(0.2058, 0.2478, 4.0000)",Exact,80.9363088144678,"(0.18369, 0.23132)","W=0.2082, RGB=0.7918","R=0.1985, G=0.9523, B=0.6011",0,Compare to Exact,0.208233378814945,0.791766621185055,RatioK
,,Projection1,79.6791363888989,"(0.19126, 0.23695)","W=0.1445, RGB=0.8555","R=0.2607, G=1.0159, B=0.6186",1.2571724255689,Compare to Exact,0.144455701206875,0.855544298793125,RatioK
,,ProjectionK,80.9114010893836,"(0.18438, 0.23183)","W=0.2027, RGB=0.7973","R=0.2039, G=0.9579, B=0.6026",0.0249077250841907,Compare to Exact,0.202692774456398,0.797307225543602,RatioK
,,Ratio1,80.4981701905384,"(0.18731, 0.23401)","W=0.1786, RGB=0.8214","R=0.2274, G=0.9819, B=0.6092",0.43813862392939,Compare to Exact,0.178594447274985,0.821405552725015,RatioK
,,RatioK,80.9229011839534,"(0.18420, 0.23169)","W=0.2042, RGB=0.7958","R=0.2025, G=0.9564, B=0.6022",0.0134076305143935,Compare to Exact,0.204192781907868,0.795807218092132,RatioK
,,PureRGB,75.090026225277,"(0.20578, 0.24776)","W=0.0000, RGB=1.0000","R=0.4015, G=1.1600, B=0.6582",5.84628258919079,Compare to Exact,0,1,RatioK
62,"(0.2094, 0.2765, 4.0000)",Exact,77.1458655363447,"(0.18643, 0.26439)","W=0.1981, RGB=0.8019","R=0.1885, G=0.9898, B=0.4931",0,Compare to Exact,0.198079095101793,0.801920904898207,RatioK
,,Projection1,76.3446680583825,"(0.19338, 0.26805)","W=0.1453, RGB=0.8547","R=0.2399, G=1.0424, B=0.5075",0.801197477962205,Compare to Exact,0.145328064860032,0.854671935139968,RatioK
,,ProjectionK,77.0937083581939,"(0.18790, 0.26516)","W=0.1874, RGB=0.8126","R=0.1989, G=1.0004, B=0.4960",0.0521571781508072,Compare to Exact,0.187380952225888,0.812619047774113,RatioK
,,Ratio1,76.8222112677119,"(0.19040, 0.26648)","W=0.1686, RGB=0.8314","R=0.2173, G=1.0192, B=0.5012",0.323654268632808,Compare to Exact,0.168604327711541,0.831395672288459,RatioK
,,RatioK,77.1185049036956,"(0.18749, 0.26494)","W=0.1904, RGB=0.8096","R=0.1960, G=0.9974, B=0.4952",0.0273606326491063,Compare to Exact,0.190405083634909,0.809594916365091,RatioK
,,PureRGB,72.2155212152395,"(0.20944, 0.27650)","W=0.0000, RGB=1.0000","R=0.3816, G=1.1873, B=0.5473",4.9303443211052,Compare to Exact,0,1,RatioK
63,"(0.2136, 0.3090, 4.0000)",Exact,73.6361490817639,"(0.19286, 0.30349)","W=0.1671, RGB=0.8329","R=0.2007, G=1.0454, B=0.4012",0,Compare to Exact,0.167081209311661,0.832918790688339,ProjK
,,Projection1,73.1354793060893,"(0.19869, 0.30503)","W=0.1254, RGB=0.8746","R=0.2413, G=1.0870, B=0.4126",0.500669775674609,Compare to Exact,0.125427375761575,0.874572624238425,ProjK
,,ProjectionK,73.5831797401563,"(0.19458, 0.30395)","W=0.1552, RGB=0.8448","R=0.2123, G=1.0573, B=0.4045",0.0529693416076071,Compare to Exact,0.155188735378108,0.844811264621892,ProjK
,,Ratio1,73.2561660275242,"(0.19782, 0.30480)","W=0.1319, RGB=0.8681","R=0.2350, G=1.0805, B=0.4109",0.379983054239702,Compare to Exact,0.131884211508019,0.868115788491981,ProjK
,,RatioK,73.581725515887,"(0.19460, 0.30395)","W=0.1550, RGB=0.8450","R=0.2125, G=1.0575, B=0.4045",0.0544235658769026,Compare to Exact,0.155020441080439,0.844979558919561,ProjK
,,PureRGB,69.9330890002924,"(0.21357, 0.30897)","W=0.0000, RGB=1.0000","R=0.3636, G=1.2121, B=0.4470",3.70306008147151,Compare to Exact,0,1,ProjK
64,"(0.2183, 0.3459, 4.0000)",Exact,70.4944781899442,"(0.20250, 0.34683)","W=0.1223, RGB=0.8777","R=0.2280, G=1.1126, B=0.3222",0,Compare to Exact,0.122326943033451,0.877673056966549,ProjK
,,Projection1,70.427125605598,"(0.20452, 0.34671)","W=0.1084, RGB=0.8916","R=0.2415, G=1.1265, B=0.3260",0.0673525843462102,Compare to Exact,0.108399507595092,0.891600492404908,ProjK
,,ProjectionK,70.493014693108,"(0.20223, 0.34684)","W=0.1241, RGB=0.8759","R=0.2262, G=1.1108, B=0.3217",0.00146349683620883,Compare to Exact,0.124141385209108,0.875858614790892,ProjK
,,Ratio1,70.1860482063381,"(0.20703, 0.34657)","W=0.0904, RGB=0.9096","R=0.2590, G=1.1444, B=0.3309",0.308429983606104,Compare to Exact,0.0904369176875091,0.909563082312491,ProjK
,,RatioK,70.4544013505895,"(0.20405, 0.34674)","W=0.1117, RGB=0.8883","R=0.2384, G=1.1232, B=0.3251",0.0400768393546969,Compare to Exact,0.111654267063122,0.888345732936878,ProjK
,,PureRGB,68.1328297255671,"(0.21827, 0.34591)","W=0.0000, RGB=1.0000","R=0.3472, G=1.2346, B=0.3557",2.3616484643771,Compare to Exact,0,1,ProjK
65,"(0.2237, 0.3883, 4.0000)",Exact,67.5306976921654,"(0.21317, 0.39322)","W=0.0792, RGB=0.9208","R=0.2550, G=1.1761, B=0.2506",0,Compare to Exact,0.079225753863126,0.920774246136874,Proj1
,,Projection1,67.5009612526137,"(0.21186, 0.39382)","W=0.0881, RGB=0.9119","R=0.2463, G=1.1673, B=0.2481",0.0297364395516979,Compare to Exact,0.0881165464217114,0.911883453578289,Proj1
,,ProjectionK,67.4305119630875,"(0.21073, 0.39435)","W=0.0956, RGB=0.9044","R=0.2390, G=1.1598, B=0.2461",0.100185729077907,Compare to Exact,0.0956158802878202,0.90438411971218,Proj1
,,Ratio1,67.2795910540851,"(0.21713, 0.39138)","W=0.0511, RGB=0.9489","R=0.2825, G=1.2042, B=0.2583",0.251106638080302,Compare to Exact,0.0510619318390555,0.948938068160945,Proj1
,,RatioK,67.4890191614518,"(0.21469, 0.39251)","W=0.0687, RGB=0.9313","R=0.2653, G=1.1866, B=0.2535",0.0416785307136109,Compare to Exact,0.0686736443600181,0.931326355639982,Proj1
,,PureRGB,66.2654862412487,"(0.22367, 0.38835)","W=0.0000, RGB=1.0000","R=0.3322, G=1.2551, B=0.2723",1.26521145091671,Compare to Exact,0,1,Proj1
66,"(0.2299, 0.4376, 4.0000)",Exact,64.4522938842026,"(0.22482, 0.44265)","W=0.0381, RGB=0.9619","R=0.2814, G=1.2360, B=0.1853",0,Compare to Exact,0.0380960001418366,0.961903999858163,RatioK
,,Projection1,64.3927199672256,"(0.22307, 0.44438)","W=0.0503, RGB=0.9497","R=0.2695, G=1.2239, B=0.1820",0.0595739169770013,Compare to Exact,0.05026787245533,0.94973212754467,RatioK
,,ProjectionK,64.1805825279293,"(0.22093, 0.44650)","W=0.0647, RGB=0.9353","R=0.2555, G=1.2095, B=0.1781",0.2717113562733,Compare to Exact,0.0646519504434441,0.935348049556556,RatioK
,,Ratio1,64.2441337408747,"(0.22832, 0.43918)","W=0.0124, RGB=0.9876","R=0.3064, G=1.2616, B=0.1924",0.208160143327902,Compare to Exact,0.0124334880912056,0.987566511908794,RatioK
,,RatioK,64.3983636872545,"(0.22650, 0.44098)","W=0.0260, RGB=0.9740","R=0.2932, G=1.2481, B=0.1886",0.0539301969481016,Compare to Exact,0.0259775334357895,0.974022466564211,RatioK
,,PureRGB,64.051423304454,"(0.22994, 0.43758)","W=0.0000, RGB=1.0000","R=0.3185, G=1.2740, B=0.1958",0.400870579748599,Compare to Exact,0,1,RatioK
67,"(0.2373, 0.4954, 4.0000)",Exact,60.2560222147588,"(0.23729, 0.49541)","W=0.0000, RGB=1.0000","R=0.3058, G=1.2914, B=0.1253",0,Compare to Exact,0,1,Ratio1
,,Projection1,59.9385072477137,"(0.23355, 0.50176)","W=0.0268, RGB=0.9732","R=0.2797, G=1.2646, B=0.1180",0.317514967045099,Compare to Exact,0.0268234186558072,0.973176581344193,Ratio1
,,ProjectionK,59.6972265480315,"(0.23195, 0.50448)","W=0.0377, RGB=0.9623","R=0.2691, G=1.2537, B=0.1150",0.558795666727299,Compare to Exact,0.0377116204182207,0.962288379581779,Ratio1
,,Ratio1,60.2560222147588,"(0.23729, 0.49541)","W=0.0000, RGB=1.0000","R=0.3058, G=1.2914, B=0.1253",0,Compare to Exact,0,1,Ratio1
,,RatioK,60.220243067003,"(0.23639, 0.49693)","W=0.0067, RGB=0.9933","R=0.2994, G=1.2847, B=0.1235",0.0357791477558038,Compare to Exact,0.0066546075817823,0.993345392418218,Ratio1
,,PureRGB,60.2560222147588,"(0.23729, 0.49541)","W=0.0000, RGB=1.0000","R=0.3058, G=1.2914, B=0.1253",0,Compare to Exact,0,1,Ratio1
68,"(0.2461, 0.5643, 4.0000)",Exact,50.7843908159817,"(0.24605, 0.56427)","W=0.0000, RGB=1.0000","R=0.2942, G=1.3074, B=0.0603",0,Compare to Exact,0,1,Ratio1
,,Projection1,50.4367877649402,"(0.24394, 0.57000)","W=0.0150, RGB=0.9850","R=0.2796, G=1.2925, B=0.0562",0.347603051041503,Compare to Exact,0.0149672033384472,0.985032796661553,Ratio1
,,ProjectionK,50.3150118225661,"(0.24325, 0.57188)","W=0.0197, RGB=0.9803","R=0.2750, G=1.2878, B=0.0549",0.469378993415603,Compare to Exact,0.0196974498065947,0.980302550193405,Ratio1
,,Ratio1,50.7843908159817,"(0.24605, 0.56427)","W=0.0000, RGB=1.0000","R=0.2942, G=1.3074, B=0.0603",0,Compare to Exact,0,1,Ratio1
,,RatioK,50.7491121958255,"(0.24583, 0.56489)","W=0.0016, RGB=0.9984","R=0.2926, G=1.3058, B=0.0598",0.0352786201562054,Compare to Exact,0.00164702120897235,0.998352978791028,Ratio1
,,PureRGB,50.7843908159817,"(0.24605, 0.56427)","W=0.0000, RGB=1.0000","R=0.2942, G=1.3074, B=0.0603",0,Compare to Exact,0,1,Ratio1
69,"(0.2567, 0.6477, 4.0000)",Exact,14.8784077166519,"(0.25667, 0.64767)","W=0.0000, RGB=1.0000","R=0.2833, G=1.3223, B=0.0000",0,Compare to Exact,1.16391941311225e-16,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,14.8784077166517,"(0.25667, 0.64767)","W=0.0000, RGB=1.0000","R=0.2833, G=1.3223, B=0.0000",1.98951966012828e-13,Compare to Exact,2.3278388262245e-16,1,Ratio1
,,RatioK,14.8784077166517,"(0.25667, 0.64767)","W=0.0000, RGB=1.0000","R=0.2833, G=1.3223, B=0.0000",1.98951966012828e-13,Compare to Exact,2.3278388262245e-16,1,Ratio1
,,PureRGB,14.8784071206666,"(0.25667, 0.64767)","W=0.0000, RGB=1.0000","R=0.2833, G=1.3223, B=0.0000",5.95985300222424e-07,Compare to Exact,0,1,Ratio1
70,"(0.1960, 0.0532, 4.0000)",Exact,-169.131470580749,"(0.19602, 0.05324)","W=0.0000, RGB=1.0000","R=1.6363, G=0.0000, B=4.4702",0,Compare to Exact,0,1,PureRGB
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,PureRGB
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,PureRGB
,,Ratio1,-169.131470580749,"(0.19602, 0.05324)","W=0.0000, RGB=1.0000","R=1.6363, G=0.0000, B=4.4702",0,Compare to Exact,0,1,PureRGB
,,RatioK,-169.131470580749,"(0.19602, 0.05324)","W=0.0000, RGB=1.0000","R=1.6363, G=0.0000, B=4.4702",0,Compare to Exact,0,1,PureRGB
,,PureRGB,-169.131470580749,"(0.19602, 0.05324)","W=0.0000, RGB=1.0000","R=1.6363, G=0.0000, B=4.4702",0,Compare to Exact,0,1,PureRGB
71,"(0.1978, 0.0629, 4.0000)",Exact,-107.646956126871,"(0.19237, 0.05153)","W=0.2129, RGB=0.7871","R=1.2257, G=0.0000, B=3.6614",0,Compare to Exact,0.212896560391685,0.787103439608314,Ratio1
,,Projection1,-108.226110274429,"(0.19297, 0.05278)","W=0.1903, RGB=0.8097","R=1.2477, G=0.0225, B=3.6675",0.579154147558,Compare to Exact,0.190310626008798,0.809689373991202,Ratio1
,,ProjectionK,-109.657479819519,"(0.19436, 0.05572)","W=0.1363, RGB=0.8637","R=1.3004, G=0.0764, B=3.6823",2.01052369264799,Compare to Exact,0.136253445564706,0.863746554435294,Ratio1
,,Ratio1,-107.772929799156,"(0.19250, 0.05180)","W=0.2079, RGB=0.7921","R=1.2305, G=0.0049, B=3.6627",0.125973672284999,Compare to Exact,0.20794720817807,0.79205279182193,Ratio1
,,RatioK,-107.794629424584,"(0.19253, 0.05185)","W=0.2071, RGB=0.7929","R=1.2314, G=0.0058, B=3.6629",0.147673297712998,Compare to Exact,0.207096733910877,0.792903266089123,Ratio1
,,PureRGB,-113.561938232933,"(0.19776, 0.06288)","W=0.0000, RGB=1.0000","R=1.4333, G=0.2123, B=3.7197",5.914982106062,Compare to Exact,0,1,Ratio1
72,"(0.1996, 0.0732, 4.0000)",Exact,-61.6832781640674,"(0.18812, 0.04953)","W=0.3788, RGB=0.6212","R=0.9058, G=0.0000, B=3.0311",0,Compare to Exact,0.378787307721201,0.621212692278799,Ratio1
,,Projection1,-66.6220214624615,"(0.19421, 0.06206)","W=0.1866, RGB=0.8134","R=1.0932, G=0.1917, B=3.0838",4.9387432983941,Compare to Exact,0.186570054739176,0.813429945260824,Ratio1
,,ProjectionK,-65.8056724403362,"(0.19332, 0.06022)","W=0.2158, RGB=0.7842","R=1.0646, G=0.1626, B=3.0758",4.12239427626879,Compare to Exact,0.215808560802995,0.784191439197005,Ratio1
,,Ratio1,-61.8660314581351,"(0.18838, 0.05006)","W=0.3709, RGB=0.6291","R=0.9134, G=0.0078, B=3.0333",0.182753294067695,Compare to Exact,0.370933361205084,0.629066638794916,Ratio1
,,RatioK,-61.9706717157421,"(0.18853, 0.05037)","W=0.3665, RGB=0.6335","R=0.9178, G=0.0123, B=3.0345",0.287393551674697,Compare to Exact,0.366466403441252,0.633533596558748,Ratio1
,,PureRGB,-72.4410368611667,"(0.19963, 0.07322)","W=0.0000, RGB=1.0000","R=1.2750, G=0.3778, B=3.1349",10.7577586970993,Compare to Exact,0,1,Ratio1
73,"(0.2016, 0.0843, 4.0000)",Exact,-26.144796669977,"(0.18309, 0.04717)","W=0.5117, RGB=0.4883","R=0.6494, G=0.0000, B=2.5262",0,Compare to Exact,0.511692238461449,0.488307761538551,Ratio1
,,Projection1,-30.1413645558068,"(0.18998, 0.06097)","W=0.3375, RGB=0.6625","R=0.8192, G=0.1737, B=2.5739",3.9965678858298,Compare to Exact,0.337510176750069,0.662489823249931,Ratio1
,,ProjectionK,-28.9847267271393,"(0.18822, 0.05743)","W=0.3839, RGB=0.6161","R=0.7740, G=0.1275, B=2.5612",2.8399300571623,Compare to Exact,0.383855078070932,0.616144921929067,Ratio1
,,Ratio1,-26.3398967400579,"(0.18349, 0.04796)","W=0.5021, RGB=0.4979","R=0.6587, G=0.0095, B=2.5288",0.195100070080898,Compare to Exact,0.502117659341925,0.497882340658074,Ratio1
,,RatioK,-26.5704025932435,"(0.18395, 0.04888)","W=0.4910, RGB=0.5090","R=0.6696, G=0.0207, B=2.5319",0.425605923266499,Compare to Exact,0.490983134760248,0.509016865239751,Ratio1
,,PureRGB,-40.96589602779,"(0.20164, 0.08432)","W=0.0000, RGB=1.0000","R=1.1483, G=0.5104, B=2.6664",14.821099357813,Compare to Exact,0,1,Ratio1
74,"(0.2038, 0.0963, 4.0000)",Exact,1.92614674810664,"(0.17706, 0.04433)","W=0.6206, RGB=0.3794","R=0.4394, G=0.0000, B=2.1126",0,Compare to Exact,0.620560050008071,0.379439949991929,Ratio1
,,Projection1,-1.15563925852314,"(0.18497, 0.05970)","W=0.4610, RGB=0.5390","R=0.5950, G=0.1591, B=2.1563",3.08178600662978,Compare to Exact,0.461033037377965,0.538966962622035,Ratio1
,,ProjectionK,-1.05747488911478,"(0.18476, 0.05929)","W=0.4654, RGB=0.5346","R=0.5907, G=0.1547, B=2.1551",2.98362163722142,Compare to Exact,0.465431719792623,0.534568280207376,Ratio1
,,Ratio1,1.75439628365065,"(0.17761, 0.04541)","W=0.6100, RGB=0.3900","R=0.4498, G=0.0106, B=2.1155",0.17175046445599,Compare to Exact,0.609980519160211,0.390019480839789,Ratio1
,,RatioK,1.42648875792681,"(0.17861, 0.04735)","W=0.5906, RGB=0.4094","R=0.4687, G=0.0299, B=2.1208",0.49965799017983,Compare to Exact,0.590591730037133,0.409408269962867,Ratio1
,,PureRGB,-16.3366909885314,"(0.20381, 0.09628)","W=0.0000, RGB=1.0000","R=1.0444, G=0.6189, B=2.2826",18.262837736638,Compare to Exact,0,1,Ratio1
75,"(0.2061, 0.1092, 4.0000)",Exact,24.2397831142076,"(0.16968, 0.04087)","W=0.7114, RGB=0.2886","R=0.2643, G=0.0000, B=1.7676",0,Compare to Exact,0.711370964384957,0.288629035615043,Ratio1
,,Projection1,24.0894443615517,"(0.17077, 0.04291)","W=0.6949, RGB=0.3051","R=0.2804, G=0.0165, B=1.7721",0.150338752655902,Compare to Exact,0.694853439685151,0.305146560314849,Ratio1
,,ProjectionK,22.6365497904126,"(0.17746, 0.05545)","W=0.5883, RGB=0.4117","R=0.3842, G=0.1227, B=1.8013",1.603233323795,Compare to Exact,0.588323188910011,0.411676811089989,Ratio1
,,Ratio1,24.1409959079938,"(0.17042, 0.04225)","W=0.7002, RGB=0.2998","R=0.2751, G=0.0111, B=1.7706",0.0987872062137995,Compare to Exact,0.700233265026112,0.299766734973888,Ratio1
,,RatioK,23.7305690938709,"(0.17286, 0.04683)","W=0.6625, RGB=0.3375","R=0.3119, G=0.0487, B=1.7810",0.509214020336699,Compare to Exact,0.662524031723085,0.337475968276915,Ratio1
,,PureRGB,3.23479032903461,"(0.20614, 0.10920)","W=0.0000, RGB=1.0000","R=0.9578, G=0.7095, B=1.9625",21.004992785173,Compare to Exact,0,1,Ratio1
76,"(0.2087, 0.1232, 4.0000)",Exact,41.6375261822994,"(0.16426, 0.04338)","W=0.7428, RGB=0.2572","R=0.1603, G=0.0454, B=1.4879",0,Compare to Exact,0.742784877890291,0.257215122109709,Proj1
,,Projection1,41.6200549393771,"(0.16555, 0.04569)","W=0.7270, RGB=0.2730","R=0.1757, G=0.0612, B=1.4922",0.017471242922305,Compare to Exact,0.726963368134127,0.273036631865873,Proj1
,,ProjectionK,41.3794430355199,"(0.16921, 0.05227)","W=0.6805, RGB=0.3195","R=0.2210, G=0.1075, B=1.5049",0.258083146779505,Compare to Exact,0.680512787275786,0.319487212724214,Proj1
,,Ratio1,41.550903512794,"(0.16712, 0.04853)","W=0.7072, RGB=0.2928","R=0.1950, G=0.0809, B=1.4976",0.0866226695054024,Compare to Exact,0.707182837734657,0.292817162265343,Proj1
,,RatioK,41.2870454049854,"(0.17003, 0.05374)","W=0.6698, RGB=0.3302","R=0.2315, G=0.1182, B=1.5079",0.350480777314004,Compare to Exact,0.669778135072336,0.330221864927664,Proj1
,,PureRGB,18.9945182636792,"(0.20868, 0.12320)","W=0.0000, RGB=1.0000","R=0.8845, G=0.7862, B=1.6914",22.6430079186202,Compare to Exact,0,1,Proj1
77,"(0.2114, 0.1384, 4.0000)",Exact,55.904089017101,"(0.16459, 0.05833)","W=0.6986, RGB=0.3014","R=0.1404, G=0.1552, B=1.2674",0,Compare to Exact,0.698647160596181,0.301352839403819,Proj1
,,Projection1,55.8964542285245,"(0.16544, 0.05979)","W=0.6895, RGB=0.3105","R=0.1494, G=0.1644, B=1.2700",0.00763478857650313,Compare to Exact,0.689454863451387,0.310545136548613,Proj1
,,ProjectionK,55.7739148576387,"(0.16814, 0.06440)","W=0.6599, RGB=0.3401","R=0.1782, G=0.1938, B=1.2781",0.1301741594623,Compare to Exact,0.659911799540477,0.340088200459523,Proj1
,,Ratio1,55.8095557948224,"(0.16761, 0.06350)","W=0.6658, RGB=0.3342","R=0.1725, G=0.1880, B=1.2765",0.0945332222785993,Compare to Exact,0.665763251890523,0.334236748109477,Proj1
,,RatioK,55.6839462775445,"(0.16922, 0.06624)","W=0.6478, RGB=0.3522","R=0.1900, G=0.2059, B=1.2814",0.220142739556501,Compare to Exact,0.647840233955711,0.352159766044289,Proj1
,,PureRGB,31.8055893484054,"(0.21143, 0.13841)","W=0.0000, RGB=1.0000","R=0.8216, G=0.8520, B=1.4588",24.0984996686956,Compare to Exact,0,1,Proj1
78,"(0.2144, 0.1550, 4.0000)",Exact,67.9476021511779,"(0.16490, 0.07528)","W=0.6609, RGB=0.3391","R=0.1226, G=0.2499, B=1.0761",0,Compare to Exact,0.660931653373892,0.339068346626108,Proj1
,,Projection1,67.9472130154332,"(0.16511, 0.07562)","W=0.6590, RGB=0.3410","R=0.1245, G=0.2518, B=1.0767",0.000389135744697455,Compare to Exact,0.658968213530498,0.341031786469502,Proj1
,,ProjectionK,67.6327705792759,"(0.17046, 0.08424)","W=0.6073, RGB=0.3927","R=0.1749, G=0.3034, B=1.0908",0.314831571902005,Compare to Exact,0.607276532927647,0.392723467072353,Proj1
,,Ratio1,67.8443339131704,"(0.16806, 0.08038)","W=0.6309, RGB=0.3691","R=0.1519, G=0.2798, B=1.0844",0.103268238007502,Compare to Exact,0.630867269298426,0.369132730701574,Proj1
,,RatioK,67.6650204814802,"(0.17016, 0.08376)","W=0.6103, RGB=0.3897","R=0.1720, G=0.3004, B=1.0900",0.282581669697706,Compare to Exact,0.610265605410236,0.389734394589764,Proj1
,,PureRGB,42.2098056628943,"(0.21444, 0.15502)","W=0.0000, RGB=1.0000","R=0.7670, G=0.9091, B=1.2572",25.7377964882836,Compare to Exact,0,1,Proj1
79,"(0.2177, 0.1732, 4.0000)",Exact,78.138873724953,"(0.16519, 0.09473)","W=0.6285, RGB=0.3715","R=0.1065, G=0.3322, B=0.9085",0,Compare to Exact,0.628472323682812,0.371527676317188,Proj1
,,Projection1,78.13451575085,"(0.16457, 0.09380)","W=0.6335, RGB=0.3665","R=0.1016, G=0.3272, B=0.9071",0.00435797410300154,Compare to Exact,0.633504743214208,0.366495256785792,Proj1
,,ProjectionK,77.4346693195898,"(0.17345, 0.10708)","W=0.5577, RGB=0.4423","R=0.1755, G=0.4027, B=0.9279",0.7042044053632,Compare to Exact,0.557744572644498,0.442255427355502,Proj1
,,Ratio1,78.010246532727,"(0.16858, 0.09980)","W=0.6003, RGB=0.3997","R=0.1340, G=0.3603, B=0.9162",0.128627192226006,Compare to Exact,0.600294019034609,0.399705980965391,Proj1
,,RatioK,77.9588806393048,"(0.16922, 0.10075)","W=0.5949, RGB=0.4051","R=0.1392, G=0.3657, B=0.9177",0.179993085648206,Compare to Exact,0.594907281729554,0.405092718270446,Proj1
,,PureRGB,50.4169481092303,"(0.21773, 0.17322)","W=0.0000, RGB=1.0000","R=0.7192, G=0.9590, B=1.0807",27.7219256157227,Compare to Exact,0,1,Proj1
80,"(0.2214, 0.1932, 4.0000)",Exact,86.6187240741676,"(0.16595, 0.11799)","W=0.5968, RGB=0.4032","R=0.0952, G=0.4078, B=0.7613",0,Compare to Exact,0.596804570349377,0.403195429650623,RatioK
,,Projection1,85.0837286362267,"(0.17778, 0.13407)","W=0.5060, RGB=0.4940","R=0.1837, G=0.4984, B=0.7862",1.53499543794091,Compare to Exact,0.506033186947917,0.493966813052083,RatioK
,,ProjectionK,85.4916696830052,"(0.17581, 0.13139)","W=0.5221, RGB=0.4779","R=0.1680, G=0.4823, B=0.7818",1.1270543911624,Compare to Exact,0.522147452529574,0.477852547470426,RatioK
,,Ratio1,85.6492888186763,"(0.17498, 0.13025)","W=0.5288, RGB=0.4712","R=0.1615, G=0.4757, B=0.7800",0.969435255491305,Compare to Exact,0.528824992039381,0.471175007960619,RatioK
,,RatioK,86.3430593840376,"(0.17041, 0.12405)","W=0.5642, RGB=0.4358","R=0.1270, G=0.4404, B=0.7703",0.27566469013,Compare to Exact,0.564170044644114,0.435829955355886,RatioK
,,PureRGB,56.1140308980141,"(0.22135, 0.19324)","W=0.0000, RGB=1.0000","R=0.6771, G=1.0031, B=0.9248",30.5046931761535,Compare to Exact,0,1,RatioK
81,"(0.2254, 0.2154, 4.0000)",Exact,92.47092723199,"(0.16926, 0.14821)","W=0.5534, RGB=0.4466","R=0.1000, G=0.4903, B=0.6346",0,Compare to Exact,0.553428313396961,0.446571686603039,RatioK
,,Projection1,90.8341589828855,"(0.18094, 0.16220)","W=0.4728, RGB=0.5272","R=0.1787, G=0.5708, B=0.6567",1.63676824910451,Compare to Exact,0.472751258871128,0.527248741128872,RatioK
,,ProjectionK,91.0567182863484,"(0.18004, 0.16112)","W=0.4794, RGB=0.5206","R=0.1722, G=0.5641, B=0.6549",1.4142089456416,Compare to Exact,0.479416881759386,0.520583118240614,RatioK
,,Ratio1,91.5558691996439,"(0.17774, 0.15837)","W=0.4961, RGB=0.5039","R=0.1559, G=0.5475, B=0.6504",0.91505803234611,Compare to Exact,0.496067733005823,0.503932266994177,RatioK
,,RatioK,92.4637840354207,"(0.16864, 0.14748)","W=0.5574, RGB=0.4426","R=0.0962, G=0.4864, B=0.6336",0.00714319656930229,Compare to Exact,0.557351817928625,0.442648182071375,RatioK
,,PureRGB,59.6974569085658,"(0.22536, 0.21537)","W=0.0000, RGB=1.0000","R=0.6396, G=1.0423, B=0.7862",32.7734703234242,Compare to Exact,0,1,RatioK
82,"(0.2298, 0.2400, 4.0000)",Exact,93.3435694479234,"(0.17109, 0.18109)","W=0.5259, RGB=0.4741","R=0.0933, G=0.5528, B=0.5181",0,Compare to Exact,0.525923601382296,0.474076398617704,RatioK
,,Projection1,92.3054271193117,"(0.18089, 0.19091)","W=0.4671, RGB=0.5329","R=0.1506, G=0.6115, B=0.5342",1.0381423286117,Compare to Exact,0.467148180112229,0.532851819887771,RatioK
,,ProjectionK,92.494611261183,"(0.17993, 0.18995)","W=0.4733, RGB=0.5267","R=0.1446, G=0.6054, B=0.5326",0.848958186740404,Compare to Exact,0.47325989077233,0.526740109227671,RatioK
,,Ratio1,92.8694262407601,"(0.17764, 0.18766)","W=0.4875, RGB=0.5125","R=0.1308, G=0.5912, B=0.5287",0.474143207163294,Compare to Exact,0.487468292904231,0.512531707095769,RatioK
,,RatioK,93.3175320830781,"(0.16980, 0.17979)","W=0.5331, RGB=0.4669","R=0.0863, G=0.5457, B=0.5162",0.0260373648452941,Compare to Exact,0.533123903950944,0.466876096049056,RatioK
,,PureRGB,61.9902810256876,"(0.22981, 0.23998)","W=0.0000, RGB=1.0000","R=0.6060, G=1.0774, B=0.6622",31.3532884222358,Compare to Exact,0,1,RatioK
