Index,Target xyY,Method,Ra,RGB Point,White_RGB Ratio,RGB Weights,RaDiff_ExactMinusMethod,Note,WhiteRatio,RGBRatio,BestApproxSource
,,Ratio1,-9.47090153908325,"(0.15066, 0.07999)","W=-0.0000, RGB=1.0000","R=0.0000, G=0.9091, B=3.0173",7.105427357601e-14,Compare to Exact,-9.42414310174676e-16,1,Ratio1
,,RatioK,-9.47090153908325,"(0.15066, 0.07999)","W=-0.0000, RGB=1.0000","R=0.0000, G=0.9091, B=3.0173",7.105427357601e-14,Compare to Exact,-9.42414310174676e-16,1,Ratio1
,,PureRGB,-9.47090153908329,"(0.15066, 0.07999)","W=0.0000, RGB=1.0000","R=0.0000, G=0.9091, B=3.0173",1.10134124042816e-13,Compare to Exact,0,1,Ratio1
7,"(0.1509, 0.0920, 4.0000)",Exact,-2.02570999222787,"(0.15086, 0.09195)","W=0.0000, RGB=1.0000","R=0.0000, G=0.9861, B=2.5760",0,Compare to Exact,0,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,-2.02570999222787,"(0.15086, 0.09195)","W=0.0000, RGB=1.0000","R=0.0000, G=0.9861, B=2.5760",0,Compare to Exact,0,1,Ratio1
,,RatioK,-2.02570999222787,"(0.15086, 0.09195)","W=0.0000, RGB=1.0000","R=0.0000, G=0.9861, B=2.5760",0,Compare to Exact,0,1,Ratio1
,,PureRGB,-2.02570999222787,"(0.15086, 0.09195)","W=0.0000, RGB=1.0000","R=0.0000, G=0.9861, B=2.5760",0,Compare to Exact,0,1,Ratio1
8,"(0.1511, 0.1049, 4.0000)",Exact,4.31096539750354,"(0.15108, 0.10489)","W=0.0000, RGB=1.0000","R=0.0000, G=1.0496, B=2.2120",0,Compare to Exact,0,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,4.31096539750354,"(0.15108, 0.10489)","W=0.0000, RGB=1.0000","R=0.0000, G=1.0496, B=2.2120",0,Compare to Exact,0,1,Ratio1
,,RatioK,4.31096539750354,"(0.15108, 0.10489)","W=0.0000, RGB=1.0000","R=0.0000, G=1.0496, B=2.2120",0,Compare to Exact,0,1,Ratio1
,,PureRGB,4.31096539750354,"(0.15108, 0.10489)","W=0.0000, RGB=1.0000","R=0.0000, G=1.0496, B=2.2120",0,Compare to Exact,0,1,Ratio1
9,"(0.1513, 0.1189, 4.0000)",Exact,9.59594750139067,"(0.15131, 0.11892)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1029, B=1.9066",0,Compare to Exact,0,1,Ratio1
