Index,NeighborRank,Target_x,Target_y,Target_u1976,Target_v1976,GridI,GridJ,GridK,Neighbor_x,Neighbor_y,Neighbor_u1976,Neighbor_v1976,Delta_u1976,Delta_v1976,Delta_uv1976
1,1,0.149847034585031,0.0315533724733915,0.194673131770244,0.092232963916951,0,0,24,0.151944807551146,0.0287090273315391,0.199886696622239,0.0849765361535396,0.00521356485199501,-0.0072564277634114,0.00893515541843372
1,2,0.149847034585031,0.0315533724733915,0.194673131770244,0.092232963916951,0,1,23,0.151802349751986,0.0366395227314026,0.193621150558292,0.105149358736479,-0.00105198121195202,0.012916394819528,0.0129591635379846
1,3,0.149847034585031,0.0315533724733915,0.194673131770244,0.092232963916951,1,0,23,0.165725480739411,0.0354076158307829,0.214292771521417,0.103014281297325,0.019619639751173,0.010781317380374,0.0223867610078404
1,4,0.149847034585031,0.0315533724733915,0.194673131770244,0.092232963916951,1,1,22,0.166020826189018,0.0436943336881004,0.208027225457469,0.123187103880264,0.013354093687225,0.030954139963313,0.033711876231909
1,5,0.149847034585031,0.0315533724733915,0.194673131770244,0.092232963916951,0,2,22,0.151650658034637,0.0450840619122693,0.187355604494345,0.125322181319417,-0.00731752727589902,0.033089217402466,0.033888678253086
1,6,0.149847034585031,0.0315533724733915,0.194673131770244,0.092232963916951,2,0,22,0.179993415144414,0.0423430550511762,0.228698846420594,0.121052026441111,0.03402571465035,0.02881906252416,0.0445902189077211
2,1,0.149988238831978,0.0399727772713966,0.188682438517603,0.113141287506273,0,1,23,0.151802349751986,0.0366395227314026,0.193621150558292,0.105149358736479,0.00493871204068899,-0.007991928769794,0.00939477525448627
2,2,0.149988238831978,0.0399727772713966,0.188682438517603,0.113141287506273,0,2,22,0.151650658034637,0.0450840619122693,0.187355604494345,0.125322181319417,-0.00132683402325801,0.012180893813144,0.0122529450587344
2,3,0.149988238831978,0.0399727772713966,0.188682438517603,0.113141287506273,1,1,22,0.166020826189018,0.0436943336881004,0.208027225457469,0.123187103880264,0.019344786939866,0.010045816373991,0.0217976881427539
2,4,0.149988238831978,0.0399727772713966,0.188682438517603,0.113141287506273,1,0,23,0.165725480739411,0.0354076158307829,0.214292771521417,0.103014281297325,0.025610333003814,-0.010127006208948,0.0275398876417882
2,5,0.149988238831978,0.0399727772713966,0.188682438517603,0.113141287506273,0,0,24,0.151944807551146,0.0287090273315391,0.199886696622239,0.0849765361535396,0.011204258104636,-0.0281647513527334,0.0303115261647545
2,6,0.149988238831978,0.0399727772713966,0.188682438517603,0.113141287506273,1,2,21,0.166335670047518,0.0525281323058379,0.201761679393522,0.143359926463203,0.013079240875919,0.03021863895693,0.03292768868748
3,1,0.150138996776212,0.0489618281425533,0.182691745264962,0.134049611095595,0,2,22,0.151650658034637,0.0450840619122693,0.187355604494345,0.125322181319417,0.00466385922938298,-0.00872742977617799,0.00989543396772567
3,2,0.150138996776212,0.0489618281425533,0.182691745264962,0.134049611095595,0,3,21,0.15148880453282,0.054094298341464,0.181090058430398,0.145495003902356,-0.00160168683456402,0.011445392806761,0.0115569207497963
3,3,0.150138996776212,0.0489618281425533,0.182691745264962,0.134049611095595,1,2,21,0.166335670047518,0.0525281323058379,0.201761679393522,0.143359926463203,0.01906993412856,0.00931031536760801,0.0212213185243503
3,4,0.150138996776212,0.0489618281425533,0.182691745264962,0.134049611095595,1,1,22,0.166020826189018,0.0436943336881004,0.208027225457469,0.123187103880264,0.025335480192507,-0.010862507215331,0.0275659322278067
3,5,0.150138996776212,0.0489618281425533,0.182691745264962,0.134049611095595,0,1,23,0.151802349751986,0.0366395227314026,0.193621150558292,0.105149358736479,0.01092940529333,-0.028900252359116,0.0308978395116302
3,6,0.150138996776212,0.0489618281425533,0.182691745264962,0.134049611095595,1,3,20,0.16667200912661,0.061965037653583,0.195496133329575,0.163532749046142,0.012804388064613,0.029483137950547,0.0321435495413962
4,1,0.150300311952944,0.0585803615956412,0.176701052012321,0.154957934684917,0,3,21,0.15148880453282,0.054094298341464,0.181090058430398,0.145495003902356,0.00438900641807699,-0.009462930782561,0.0104312241052266
4,2,0.150300311952944,0.0585803615956412,0.176701052012321,0.154957934684917,0,4,20,0.151315732757046,0.06372904582255,0.17482451236645,0.165667826485295,-0.00187653964587101,0.010709891800378,0.0108730484878128
4,3,0.150300311952944,0.0585803615956412,0.176701052012321,0.154957934684917,1,3,20,0.16667200912661,0.061965037653583,0.195496133329575,0.163532749046142,0.018795081317254,0.00857481436122501,0.0206587154259809
4,4,0.150300311952944,0.0585803615956412,0.176701052012321,0.154957934684917,1,2,21,0.166335670047518,0.0525281323058379,0.201761679393522,0.143359926463203,0.025060627381201,-0.011598008221714,0.0276142868720224
4,5,0.150300311952944,0.0585803615956412,0.176701052012321,0.154957934684917,1,4,19,0.167032122529595,0.0720689961575702,0.189230587265628,0.183705571629081,0.012529535253307,0.028747636944164,0.0313594624242401
4,6,0.150300311952944,0.0585803615956412,0.176701052012321,0.154957934684917,0,2,22,0.151650658034637,0.0450840619122693,0.187355604494345,0.125322181319417,0.010654552482024,-0.0296357533655,0.0314928145159011
5,1,0.150473333547693,0.0688968986438816,0.17071035875968,0.175866258274239,0,5,19,0.151130234506905,0.0740555637675003,0.168558966302503,0.185840649068234,-0.00215139245717699,0.00997439079399501,0.0102037719112165
5,2,0.150473333547693,0.0688968986438816,0.17071035875968,0.175866258274239,0,4,20,0.151315732757046,0.06372904582255,0.17482451236645,0.165667826485295,0.00411415360677,-0.010198431788944,0.0109970119056879
5,3,0.150473333547693,0.0688968986438816,0.17071035875968,0.175866258274239,1,4,19,0.167032122529595,0.0720689961575702,0.189230587265628,0.183705571629081,0.018520228505948,0.007839313354842,0.0201110342296942
5,4,0.150473333547693,0.0688968986438816,0.17071035875968,0.175866258274239,1,3,20,0.16667200912661,0.061965037653583,0.195496133329575,0.163532749046142,0.024785774569895,-0.012333509228097,0.0276848346736838
5,5,0.150473333547693,0.0688968986438816,0.17071035875968,0.175866258274239,1,5,18,0.1674186233639,0.0829133256360264,0.182965041201681,0.20387839421202,0.012254682442001,0.028012135937781,0.0305754313387565
5,6,0.150473333547693,0.0688968986438816,0.17071035875968,0.175866258274239,0,6,18,0.1509309216251,0.0851511296235151,0.162293420238556,0.206013471651173,-0.00841693852112399,0.030147213376934,0.0313001490166224
6,1,0.150659383815266,0.0799902796813128,0.164719665507039,0.196774581863561,0,6,18,0.1509309216251,0.0851511296235151,0.162293420238556,0.206013471651173,-0.00242624526848301,0.009238889787612,0.00955215947367283
6,2,0.150659383815266,0.0799902796813128,0.164719665507039,0.196774581863561,0,5,19,0.151130234506905,0.0740555637675003,0.168558966302503,0.185840649068234,0.00383930079546399,-0.010933932795327,0.0115884044186755
6,3,0.150659383815266,0.0799902796813128,0.164719665507039,0.196774581863561,1,5,18,0.1674186233639,0.0829133256360264,0.182965041201681,0.20387839421202,0.018245375694642,0.007103812348459,0.0195795271679566
6,4,0.150659383815266,0.0799902796813128,0.164719665507039,0.196774581863561,1,4,19,0.167032122529595,0.0720689961575702,0.189230587265628,0.183705571629081,0.024510921758589,-0.01306901023448,0.0277774065377712
6,5,0.150659383815266,0.0799902796813128,0.164719665507039,0.196774581863561,1,6,17,0.167834522253701,0.0945824973179742,0.176699495137734,0.224051216794959,0.011979829630695,0.027276634931398,0.0297914607087541
6,6,0.150659383815266,0.0799902796813128,0.164719665507039,0.196774581863561,0,7,17,0.150716191196719,0.0971049761979383,0.156027874174609,0.226186294234112,-0.00869179133243,0.029411712370551,0.0306691385782928
7,1,0.150859991935088,0.0919516831310716,0.158728972254397,0.217682905452882,0,7,17,0.150716191196719,0.0971049761979383,0.156027874174609,0.226186294234112,-0.00270109807978799,0.00850338878123,0.00892208224583155
7,2,0.150859991935088,0.0919516831310716,0.158728972254397,0.217682905452882,0,6,18,0.1509309216251,0.0851511296235151,0.162293420238556,0.206013471651173,0.003564447984159,-0.011669433801709,0.0122016791747793
7,3,0.150859991935088,0.0919516831310716,0.158728972254397,0.217682905452882,1,6,17,0.167834522253701,0.0945824973179742,0.176699495137734,0.224051216794959,0.017970522883337,0.00636831134207702,0.019065546990584
7,4,0.150859991935088,0.0919516831310716,0.158728972254397,0.217682905452882,1,5,18,0.1674186233639,0.0829133256360264,0.182965041201681,0.20387839421202,0.024236068947284,-0.013804511240862,0.0278917831738415
7,5,0.150859991935088,0.0919516831310716,0.158728972254397,0.217682905452882,1,7,16,0.168283305918205,0.107174340570212,0.170433949073787,0.244224039377898,0.01170497681939,0.026541133925016,0.0290075554359221
7,6,0.150859991935088,0.0919516831310716,0.158728972254397,0.217682905452882,0,8,16,0.150484182347709,0.11002069664742,0.149762328110662,0.246359116817051,-0.00896664414373499,0.028676211364169,0.0300453957438219
8,1,0.151076936137328,0.104887137246267,0.152738279001756,0.238591229042204,0,8,16,0.150484182347709,0.11002069664742,0.149762328110662,0.246359116817051,-0.00297595089109398,0.00776788777484699,0.0083184352007346
8,2,0.151076936137328,0.104887137246267,0.152738279001756,0.238591229042204,0,7,17,0.150716191196719,0.0971049761979383,0.156027874174609,0.226186294234112,0.00328959517285302,-0.012404934808092,0.0128336995443352
8,3,0.151076936137328,0.104887137246267,0.152738279001756,0.238591229042204,1,7,16,0.168283305918205,0.107174340570212,0.170433949073787,0.244224039377898,0.017695670072031,0.00563281033569399,0.0185705490380892
8,4,0.151076936137328,0.104887137246267,0.152738279001756,0.238591229042204,1,6,17,0.167834522253701,0.0945824973179742,0.176699495137734,0.224051216794959,0.023961216135978,-0.014540012247245,0.0280276976376064
8,5,0.151076936137328,0.104887137246267,0.152738279001756,0.238591229042204,1,8,15,0.168769035156525,0.12080279212876,0.16416840300984,0.264396861960837,0.011430124008084,0.025805632918633,0.0282237209660848
8,6,0.151076936137328,0.104887137246267,0.152738279001756,0.238591229042204,0,9,15,0.150232722177482,0.124019254360603,0.143496782046715,0.26653193939999,-0.00924149695504098,0.027940710357786,0.0294293826178484
9,1,0.151312296557197,0.11892067158508,0.146747585749115,0.259499552631526,0,9,15,0.150232722177482,0.124019254360603,0.143496782046715,0.26653193939999,-0.0032508037024,0.00703238676846396,0.00774739881333112
9,2,0.151312296557197,0.11892067158508,0.146747585749115,0.259499552631526,0,8,16,0.150484182347709,0.11002069664742,0.149762328110662,0.246359116817051,0.003014742361547,-0.013140435814475,0.013481829434496
9,3,0.151312296557197,0.11892067158508,0.146747585749115,0.259499552631526,1,8,15,0.168769035156525,0.12080279212876,0.16416840300984,0.264396861960837,0.017420817260725,0.00489730932931098,0.0180960910889211
9,4,0.151312296557197,0.11892067158508,0.146747585749115,0.259499552631526,1,9,14,0.16929646807087,0.135601353459745,0.157902856945893,0.284569684543775,0.011155271196778,0.025070131912249,0.0274399633667983
9,5,0.151312296557197,0.11892067158508,0.146747585749115,0.259499552631526,1,7,16,0.168283305918205,0.107174340570212,0.170433949073787,0.244224039377898,0.023686363324672,-0.015275513253628,0.0281848383481285
9,6,0.151312296557197,0.11892067158508,0.146747585749115,0.259499552631526,0,10,14,0.149959257497693,0.139242782997667,0.137231235982768,0.286704761982929,-0.00951634976634699,0.027205209351403,0.0288215948331996
