Index,Target_x,Target_y,Target_Y_lm,Target_u1976,Target_v1976,ExactValid,S14Valid,BoundaryMixValid,Exact_Ra,Exact_Rmin8,Exact_SingleWhiteRatio,Exact_RGBWhiteRatio,Exact_RGBPoint_x,Exact_RGBPoint_y,Exact_RGBPoint_Y_lm,Exact_R_weight,Exact_G_weight,Exact_B_weight,S14_Ra,S14_Rmin8,S14_SingleWhiteRatio,S14_RGBWhiteRatio,S14_DistanceWeightedAverageWhiteRatio,S14_LocalFitPredictedWhiteRatio,S14_LocalFitFallbackUsed,S14_LocalFitConditionValue,S14_OutputDeltaUv,S14_RGBPoint_x,S14_RGBPoint_y,S14_RGBPoint_Y_lm,S14_R_weight,S14_G_weight,S14_B_weight,S14_KUsed,BoundaryMix_Ra,BoundaryMix_Rmin8,BoundaryMix_SingleWhiteRatio,BoundaryMix_RGBWhiteRatio,BoundaryMix_RGBPoint_x,BoundaryMix_RGBPoint_y,BoundaryMix_RGBPoint_Y_lm,BoundaryMix_RayT,BoundaryMix_R_weight,BoundaryMix_G_weight,BoundaryMix_B_weight,RaDiff_ExactMinusS14,RaDiff_ExactMinusBoundaryMix,RaDiff_S14MinusBoundaryMix,AbsRaDiff_S14MinusBoundaryMix,BetterApproxMethod,WhiteRatioDiff_ExactMinusS14,WhiteRatioDiff_ExactMinusBoundaryMix,ErrorMessage
1,0.226057658082383,0.543449795489374,4,0.0997025574270471,0.539298263690928,1,1,1,48.7220257349937,29.9964451011734,0,1,0.226057658082383,0.543449795489374,4,0.116391032655892,0.743905019648109,0.035352909764217,48.6983443194325,30.0171421893828,0.00121807938521535,0.998781920614785,0.00268999670536939,0.00121807938521531,0,4.17819463541144e-05,0,0.225853499143614,0.543819570711231,3.99512768245914,0.115905092668287,0.743220624247794,0.0352070766688404,9,37.5287892973256,17.59134963144,0.291751082681506,0.708248917318494,0.13659991804847,0.705476772448251,2.83299566927397,1.83289408794912,0,0.579980482833917,0.000423360850305227,0.0236814155611924,11.1932364376681,11.169555022107,11.169555022107,S14,-0.00121807938521535,-0.291751082681506,
2,0.413423788078613,0.474963696344639,4,0.210053936719794,0.542973078616637,1,1,1,27.3620017618966,-39.35424947207,0.107640535586376,0.892359464413624,0.427151585388212,0.496604111322376,3.5694378576545,0.378869902186438,0.507043036414132,0,27.3620017618966,-39.35424947207,0.107640535586376,0.892359464413624,0.126009781005952,0.109271059580234,0,5.78295587823609e-05,0,0.427151585388212,0.496604111322376,3.5694378576545,0.378869902186438,0.507043036414132,0,9,27.3620017618966,-39.35424947207,0.107640535586376,0.892359464413624,0.427151585388212,0.496604111322376,3.5694378576545,1.17168281655085,0.378869902186438,0.507043036414132,0,0,0,0,0,Tie,0,0,
3,0.187150871526784,0.612529568052495,4,0.0750400464578487,0.552599918205543,1,1,1,20.0599971398086,-0.938123895943434,0,1,0.187150871526784,0.612529568052495,4,0.0583144157554643,0.781241615370638,0.0184626966510201,20.0599971398086,-0.938123895943434,0,1,3.1073101877146e-17,-1.69196994842076e-17,0,4.37240731176533e-05,0,0.187150871526784,0.612529568052495,4,0.0583144157554643,0.781241615370638,0.0184626966510201,9,14.099641674291,-9.87160564698789,0.146173580080655,0.853826419919345,0.136644902516913,0.703527247292066,3.41530567967738,1.34519199818167,0,0.699111889616196,0.000962239862920988,0,5.96035546551753,5.96035546551753,5.96035546551753,S14,0,-0.146173580080655,
4,0.254063898308476,0.429430857303905,4,0.132930012413443,0.50554038388536,1,1,1,73.7107360850959,58.7895531846948,0.251551778139282,0.748448221860718,0.218458234019571,0.465537115858938,2.99379288744287,0.0905436050551224,0.549293171556231,0.0568603640057153,73.7107267014577,58.7901839354221,0.251629587028269,0.748370412971731,0.266163772797414,0.251629587028269,0,3.40641064932232e-05,0,0.218442279620077,0.465553294567712,2.99348165188692,0.0905125640154258,0.549249453514228,0.0568510484296809,9,64.7339888268811,48.4615629337906,0.478512517312528,0.521487482687472,0.140307782369484,0.544786315946182,2.08594993074989,2.4327027935928,0,0.421772019956613,0.0296877613623045,9.38363822911015e-06,8.97674725821484,8.97673787457661,8.97673787457661,S14,-7.78088889873962e-05,-0.226960739173246,
5,0.591909127182811,0.370192571261719,4,0.3783077906712,0.532353931511063,1,1,1,8.42747773670624,-62.6482470322971,0.0294241360285916,0.970575863971408,0.600237404358644,0.37087823389986,3.88230345588563,0.880410832151335,0.274839927340096,0,8.42747773670624,-62.6482470322971,0.0294241360285916,0.970575863971408,0.0229568787579453,0.0307444629386926,0,2.88158928943615e-05,0,0.600237404358644,0.37087823389986,3.88230345588563,0.880410832151335,0.274839927340096,0,9,8.42747773670624,-62.6482470322971,0.0294241360285916,0.970575863971408,0.600237404358644,0.37087823389986,3.88230345588563,1.03222449214412,0.880410832151335,0.274839927340096,0,0,0,0,0,Tie,0,0,
6,0.409125077278367,0.49594924293809,4,0.201213818531348,0.548809287552335,1,1,1,22.9267984330757,-44.6362083194812,0.0448349206336535,0.955165079366347,0.414275079510583,0.505957332800779,3.82066031746539,0.380401593429972,0.557576109832088,0,22.9267984330757,-44.6362083194812,0.0448349206336535,0.955165079366347,0.0438513487930293,0.0465353803199294,0,8.27067213712067e-05,0,0.414275079510583,0.505957332800779,3.82066031746539,0.380401593429972,0.557576109832088,0,9,22.9267984330757,-44.6362083194812,0.0448349206336535,0.955165079366347,0.414275079510583,0.505957332800779,3.82066031746539,1.06806633492904,0.380401593429972,0.557576109832088,0,0,0,0,0,Tie,0,0,
7,0.212261730123594,0.375317720760103,4,0.11993392243797,0.477146701698475,1,1,1,67.7447402054747,50.069579596811,0.0756525338333964,0.924347466166604,0.201524925940641,0.377656646509757,3.69738986466641,0.103598678587809,0.67179499655599,0.134041896338162,67.6460759421833,50.2027405749079,0.0893719911516337,0.910628008848366,0.0888531660811423,0.0893719911516337,0,7.1915793145732e-05,0,0.199370731694124,0.378125920262642,3.64251203539347,0.0981254450694563,0.664086522381485,0.132399350743934,9,58.2134064146298,34.5231414359005,0.335337717070204,0.664662282929796,0.143874442334083,0.390215336999937,2.65864913171918,1.5642430343065,0,0.525887145972027,0.102951398826657,0.0986642632913544,9.53133379084493,9.43266952755358,9.43266952755358,S14,-0.0137194573182373,-0.259685183236808,
8,0.294518200703645,0.248549138402641,4,0.21842239172406,0.414743701976996,1,1,1,70.5884322161943,48.1879980321103,0.911979605473197,0.0880203945268029,0.222303004046627,0.0624439797339341,0.352081578107212,0.0737103556327664,0,0.159108983346663,70.5426060126703,48.0802984306723,0.911333896746719,0.0886661032532811,0.908480488456325,0.911333896746719,0,2.53130647792115e-05,0,0.222448752960534,0.0628195879992871,0.354664413013124,0.0739679543528087,0.000362800723589333,0.159186290050509,9,70.5884322161943,48.1879980321103,0.911979605473197,0.0880203945268029,0.222303004046627,0.0624439797339341,0.352081578107212,2.85426966100215,0.0737103556327664,0,0.159108983346663,0.0458262035240438,0,-0.0458262035240438,0.0458262035240438,BoundaryMix,0.000645708726478067,0,
9,0.168959273511691,0.312720691156618,4,0.105357064243899,0.438753670299047,1,1,1,50.8780224549876,18.4252348162796,0,1,0.168959273511691,0.312720691156618,4,0.0549716782928952,0.745265789306554,0.229976712486345,50.8211079388356,18.3195772999782,0.00159738385785934,0.998402616142141,0.00161879560622172,0.00159738385785932,0,6.04209116040278e-05,0,0.168723418100187,0.312668798305216,3.99361046456856,0.054334418766537,0.744368276239568,0.229785467617313,9,44.2331353296457,9.02835272361503,0.137794521560676,0.862205478439324,0.145780275109195,0.307620853454874,3.4488219137573,1.14090209448661,0,0.66784395794689,0.213479428443094,0.056914516152041,6.64488712534185,6.58797260918981,6.58797260918981,S14,-0.00159738385785934,-0.137794521560676,
10,0.529442673329839,0.269581015732952,4,0.409145124088668,0.468738105753161,1,1,1,40.9821774124244,-23.513075596829,0.321066865706923,0.678933134293077,0.594096572558037,0.243408614645971,2.71573253717231,0.919685952958694,0,0.0712524967322573,40.8882036227648,-23.6747922546544,0.320183692538953,0.679816307461047,0.314737154528077,0.320183692538953,0,1.97999058475141e-05,0,0.593860268705891,0.243504272282565,2.71926522984419,0.920038285625601,0.000496223531222195,0.0713582335819256,9,40.9821774124244,-23.513075596829,0.321066865706923,0.678933134293077,0.594096572558037,0.243408614645971,2.71573253717231,1.32990198730215,0.919685952958694,0,0.0712524967322573,0.0939737896595929,0,-0.0939737896595929,0.0939737896595929,BoundaryMix,0.000883173167969264,0,
