序号,目标xyY,方法,Ra,RGB点,白色_RGB比例,RGB权重,Ra差_精确减当前,说明,白色比例,RGB比例,该目标近似最优来源
,,投影1点,30.3533522388335,"(0.22949, 0.64278)","W=0.0402, RGB=0.9598","R=0.1585, G=1.0431, B=0.0117",1.4268355876936,对比精确法,0.0401883651687552,0.959811634831245,PureRGB
,,投影K点,30.3241597092455,"(0.22933, 0.64324)","W=0.0410, RGB=0.9590","R=0.1579, G=1.0425, B=0.0116",1.4560281172816,对比精确法,0.0409685599295116,0.959031440070488,PureRGB
,,同比例,31.7801877863303,"(0.23680, 0.62050)","W=0.0000, RGB=1.0000","R=0.1901, G=1.0753, B=0.0206",4.01968023311383e-08,对比精确法,2.42978192575484e-16,1,PureRGB
,,纯RGB,31.7801878265271,"(0.23680, 0.62050)","W=0.0000, RGB=1.0000","R=0.1901, G=1.0753, B=0.0206",0,对比精确法,0,1,PureRGB
29,"(0.3092, 0.5649, 3.1110)",精确法,54.6822824682882,"(0.30529, 0.60927)","W=0.0988, RGB=0.9012","R=0.3189, G=0.8785, B=0.0000",0,基准,0.0988453677739881,0.901154632226012,ProjK
,,投影1点,54.0897787863241,"(0.30712, 0.58848)","W=0.0569, RGB=0.9431","R=0.3507, G=0.9111, B=0.0089",0.592503681964097,对比精确法,0.0569252535587666,0.943074746441233,ProjK
,,投影K点,54.2165643248177,"(0.30680, 0.59215)","W=0.0648, RGB=0.9352","R=0.3447, G=0.9049, B=0.0073",0.465718143470497,对比精确法,0.0648146275266777,0.935185372473322,ProjK
,,同比例,52.9714345175484,"(0.30920, 0.56490)","W=0.0000, RGB=1.0000","R=0.3938, G=0.9552, B=0.0211",1.7108479507398,对比精确法,1.33446599834562e-16,1,ProjK
,,纯RGB,52.9714340231462,"(0.30920, 0.56490)","W=0.0000, RGB=1.0000","R=0.3938, G=0.9552, B=0.0211",1.710848445142,对比精确法,0,1,ProjK
30,"(0.3696, 0.5362, 3.0010)",精确法,43.9056541956806,"(0.37355, 0.55536)","W=0.0562, RGB=0.9438","R=0.5212, G=0.8079, B=0.0000",0,基准,0.0562023980225659,0.943797601977434,ProjK
,,投影1点,41.9860694232518,"(0.37127, 0.54428)","W=0.0250, RGB=0.9750","R=0.5440, G=0.8312, B=0.0064",1.9195847724288,对比精确法,0.0249731804534782,0.975026819546522,ProjK
,,投影K点,41.9923369723468,"(0.37127, 0.54431)","W=0.0251, RGB=0.9749","R=0.5439, G=0.8312, B=0.0064",1.9133172233338,对比精确法,0.0250740752933203,0.97492592470668,ProjK
,,同比例,40.4230166160722,"(0.36960, 0.53620)","W=0.0000, RGB=1.0000","R=0.5623, G=0.8499, B=0.0116",3.48263757960839,对比精确法,0,1,ProjK
,,纯RGB,40.4230166160722,"(0.36960, 0.53620)","W=0.0000, RGB=1.0000","R=0.5623, G=0.8499, B=0.0116",3.48263757960839,对比精确法,0,1,ProjK
