GridI,GridJ,GridK,Target_x,Target_y,Target_Y_lm,Target_u1976,Target_v1976,Best_Ra,Best_Rmin_8,Best_Worst_R,Best_RayT,Best_SingleWhiteRatio,Best_RGBWhiteRatio,Best_RGBPoint_x,Best_RGBPoint_y,Best_RGBPoint_Y_lm,Best_RGBPoint_u1976,Best_RGBPoint_v1976,Best_R_weight,Best_G_weight,Best_B_weight,Mix_x,Mix_y,Mix_Y_lm,Mix_CCT_K,BoundaryEdge,Valid
0,0,150,0.152161923108682,0.0282088513812847,4,0.200596937870582,0.0836731716958736,-59.6614241730296,-148.768354334247,R3,1,0,1,0.152161923108682,0.0282088513812846,4,0.200596937870582,0.0836731716958736,0,0,4.58032749341578,0.152161923108682,0.0282088513812847,4,24999.9994413748,,1
0,1,149,0.152056873929962,0.0327420015811034,4,0.196914468880601,0.0954024030008738,-53.0831728163098,-134.109948587354,R3,1,0,1,0.152056873929962,0.0327420015811035,4,0.196914468880601,0.0954024030008739,0,0.122562070450869,3.91987048718449,0.152056873929962,0.0327420015811035,4.00000000000001,24999.9994413748,,1
0,2,148,0.151951824751241,0.0372751517809222,4,0.19335994543881,0.106724108014887,-47.4499092960778,-122.877889001749,R3,1,0,1,0.151951824751241,0.0372751517809222,4,0.19335994543881,0.106724108014887,0,0.215313811628233,3.42005405070141,0.151951824751241,0.0372751517809222,4,24999.9994413748,,1
0,3,147,0.151846775572521,0.041808301980741,4,0.189926813300809,0.11765916301652,-42.0007675821799,-111.694520110932,R3,1,0,1,0.151846775572521,0.041808301980741,4,0.189926813300809,0.11765916301652,0,0.287951960330811,3.02862484218848,0.151846775572521,0.041808301980741,4,24999.9994413748,,1
0,4,146,0.1517417263938,0.0463414521805598,4,0.186608958377138,0.128227042323053,-36.7126468817171,-104.923070533198,R4,1,0,1,0.1517417263938,0.0463414521805598,4,0.186608958377138,0.128227042323053,0,0.346379089619384,2.71377533980439,0.1517417263938,0.0463414521805598,4,24999.9994413748,,1
0,5,145,0.151636677215079,0.0508746023803786,4,0.183400670394717,0.138445934034362,-31.6627102902723,-100.495656753008,R4,1,0,1,0.151636677215079,0.0508746023803786,4,0.183400670394717,0.138445934034362,0,0.394393991964972,2.45503478050251,0.151636677215079,0.0508746023803786,4,24999.9994413748,,1
0,6,144,0.151531628036359,0.0554077525801974,4,0.180296610099877,0.148332844496311,-26.911665390846,-95.6757016193112,R4,1,0,0.999999999999999,0.151531628036359,0.0554077525801974,4,0.180296610099877,0.148332844496311,0,0.434552276634282,2.23863161131234,0.151531628036359,0.0554077525801974,4,24999.9994413748,,1
0,7,143,0.151426578857638,0.0599409027800162,4,0.177291779606726,0.157903692745781,-22.4911837492516,-90.7690349823506,R4,1,1.29250493917586e-15,0.999999999999999,0.151426578857638,0.0599409027800161,4,0.177291779606726,0.157903692745781,0,0.468636460723521,2.05496028379149,0.151426578857638,0.0599409027800162,4,24999.9994413748,,1
0,8,142,0.151321529678918,0.064474052979835,4,0.174381495544467,0.167173396040598,-18.4105330902132,-85.9465937280517,R4,1,-1.2016293271661e-15,1,0.151321529678918,0.0644740529798351,4.00000000000001,0.174381495544467,0.167173396040598,0,0.497927748483966,1.89711670174563,0.151321529678918,0.064474052979835,4,24999.9994413748,,1
0,9,141,0.151216480500197,0.0690072031796538,4,0.171561364700198,0.176155947440974,-14.664416772092,-81.3010562109869,R4,1,1.12269312958728e-15,0.999999999999999,0.151216480500197,0.0690072031796537,4,0.171561364700198,0.176155947440974,0,0.523370689960368,1.76001091611875,0.151216480500197,0.0690072031796538,4,24999.9994413748,,1
0,10,140,0.151111431321476,0.0735403533794726,4,0.16882726189076,0.184864486291078,-11.2387943755006,-76.879219554371,R4,1,0,1,0.151111431321476,0.0735403533794726,4,0.16882726189076,0.184864486291078,0,0.545676940628596,1.63980798969636,0.151111431321476,0.0735403533794726,4,24999.9994413748,,1
0,11,139,0.151006382142756,0.0780735035792914,4,0.166175309829217,0.193311362347397,-8.11470705075214,-72.7008489775314,R4,1,0,1,0.151006382142756,0.0780735035792913,4,0.166175309829217,0.193311362347397,0,0.565392873710493,1.53356365088563,0.151006382142756,0.0780735035792913,4,24999.9994413748,,1
0,12,138,0.150901332964035,0.0826066537791101,4,0.163601860779317,0.201508194212117,-5.2706822151842,-68.769839763506,R4,1,0,1,0.150901332964035,0.0826066537791101,4,0.163601860779317,0.201508194212117,0,0.582944930593537,1.43897991140137,0.150901332964035,0.0826066537791101,4,24999.9994413748,,1
0,13,137,0.150796283785315,0.0871398039789289,4,0.161103479815373,0.209465922652961,-2.68423573881271,-65.0809201580655,R4,1,0,1,0.150796283785315,0.087139803978929,4,0.161103479815373,0.209465922652961,0,0.59867081604783,1.3542369628752,0.150796283785315,0.087139803978929,4,24999.9994413748,,1
0,14,136,0.150691234606594,0.0916729541787477,4,0.15867692952604,0.217194859324049,-0.332833494740491,-61.6237169707903,R4,1,0,1,0.150691234606594,0.0916729541787477,4,0.15867692952604,0.217194859324049,0,0.612841437980224,1.27787494888935,0.150691234606594,0.0916729541787477,4,24999.9994413748,,1
0,15,135,0.150586185427873,0.0962061043785665,4,0.156319156018716,0.224704731344003,1.80546551596866,-58.3852342132018,R4,1,0,1,0.150586185427873,0.0962061043785665,4,0.156319156018716,0.224704731344003,0,0.625676644492582,1.20870916182058,0.150586185427873,0.0962061043785665,4,24999.9994413748,,1
0,16,134,0.150481136249153,0.100739254578385,4,0.154027276097378,0.232004722136538,3.75156362044619,-55.3513627784567,R4,1,0,1,0.150481136249153,0.100739254578385,4,0.154027276097378,0.232004722136538,0,0.637356712043276,1.14576813594909,0.150481136249153,0.100739254578385,4,24999.9994413748,,1
0,17,133,0.150376087070432,0.105272404778204,4,0.151798565500635,0.239103508894071,5.52501884499347,-52.5077915814535,R4,1,0,1,0.150376087070432,0.105272404778204,4,0.151798565500635,0.239103508894071,0,0.648030865448419,1.08824773525677,0.150376087070432,0.105272404778204,4,24999.9994413748,,1
0,18,132,0.150271037891712,0.109805554978023,4,0.149630448099118,0.246009296985698,7.14385325419094,-49.8405458547667,R4,1,0,1,0.150271037891712,0.109805554978023,4,0.149630448099118,0.246009296985698,0,0.657823687473722,1.0354766137051,0.150271037891712,0.109805554978023,4,24999.9994413748,,1
0,19,131,0.150165988712991,0.114338705177842,4,0.147520485962138,0.252729851596413,8.62445971706436,-47.3362920853772,R4,1,-6.77582562976626e-16,1,0.150165988712991,0.114338705177842,4,0.147520485962138,0.252729851596413,0,0.666840003712087,0.986889891825168,0.150165988712991,0.114338705177842,4,24999.9994413748,,1
0,20,130,0.150060939534271,0.11887185537766,4,0.1454663702131,0.259272526854035,9.98159130842844,-44.9824968348245,R4,1,0,1,0.150060939534271,0.11887185537766,4,0.1454663702131,0.259272526854035,0,0.675168649759258,0.942008856329936,0.150060939534271,0.11887185537766,4,24999.9994413748,,1
0,21,129,0.14995589035555,0.123405005577479,4,0.143465912601539,0.265644292673566,11.2284147726227,-42.7674945381277,R4,1,1.25560405818691e-15,0.999999999999999,0.14995589035555,0.123405005577479,3.99999999999999,0.143465912601539,0.265644292673566,0,0.682885408090589,0.90042513400399,0.14995589035555,0.123405005577479,4,24999.9994413748,,1
0,22,128,0.149850841176829,0.127938155777298,4,0.141517037727118,0.271851759524958,12.3766083863167,-40.6804993252732,R4,1,6.05557524501836e-16,0.999999999999999,0.149850841176829,0.127938155777298,4,0.141517037727118,0.271851759524958,0,0.690055320575049,0.861788230131474,0.149850841176829,0.127938155777298,4,24999.9994413748,,1
0,23,127,0.149745791998109,0.132471305977117,4,0.139617775857492,0.277901201309322,13.4364860966245,-38.7115832539331,R4,1,0,1,0.149745791998109,0.132471305977117,4,0.139617775857492,0.277901201309322,0,0.696734526185718,0.825795625523891,0.149745791998109,0.132471305977117,4,24999.9994413748,,1
0,24,126,0.149640742819388,0.137004456176936,4,0.137766256287788,0.283798576510003,14.4171331822379,-36.8516352748357,R4,1,5.65484620454801e-16,0.999999999999999,0.149640742819388,0.137004456176936,4,0.137766256287788,0.283798576510003,0,0.70297173387758,0.792184839542093,0.149640742819388,0.137004456176936,4,24999.9994413748,,1
0,25,125,0.149535693640668,0.141537606376754,4,0.135960701194649,0.289549547768408,15.3265426896306,-35.0923100663235,R4,1,5.47373343983263e-16,0.999999999999999,0.149535693640668,0.141537606376754,4,0.135960701194649,0.289549547768408,0,0.708809412426361,0.760727018345977,0.149535693640668,0.141537606376754,4,24999.9994413748,,1
0,26,124,0.149430644461947,0.146070756576573,4,0.134199419942384,0.295159500019788,16.1717456272558,-33.4259725213375,R4,1,5.30386195824333e-16,0.999999999999999,0.149430644461947,0.146070756576573,4,0.134199419942384,0.295159500019788,0,0.714284758715079,0.731221717035199,0.149430644461947,0.146070756576573,4,24999.9994413748,,1
0,27,123,0.149325595283226,0.150603906776392,4,0.132480803802905,0.300633557311052,16.9589309045451,-31.8456414923018,R4,1,0,1,0.149325595283226,0.150603906776392,4,0.132480803802905,0.300633557311052,0,0.719430491149095,0.703492624129575,0.149325595283226,0.150603906776392,4,24999.9994413748,,1
0,28,122,0.149220546104506,0.155137056976211,4,0.13080332105478,0.305976598411039,17.6935531783089,-30.3449349824921,R4,1,4.99390116145564e-16,0.999999999999999,0.149220546104506,0.155137056976211,4,0.13080332105478,0.305976598411039,0,0.724275503968261,0.67738403564109,0.149220546104506,0.155137056976211,4,24999.9994413748,,1
0,29,121,0.149115496925785,0.15967020717603,4,0.129165512430029,0.311193271313188,18.3804282104002,-28.9180180517489,R4,1,0,1,0.149115496925785,0.15967020717603,4,0.129165512430029,0.311193271313188,0,0.728845410100741,0.652757929767449,0.149115496925785,0.15967020717603,4,24999.9994413748,,1
0,30,120,0.149010447747065,0.164203357375848,4,0.127565986880196,0.316288006721223,19.0238162127101,-27.559554108786,R4,1,0,1,0.149010447747065,0.164203357375848,4,0.127565986880196,0.316288006721223,0,0.733162994097685,0.629491526137976,0.149010447747065,0.164203357375848,4,24999.9994413748,,1
0,31,119,0.148905398568344,0.168736507575667,4,0.126003417635902,0.321265030600111,19.6274941253013,-26.2646598809017,R4,1,0,1,0.148905398568344,0.168736507575667,4,0.126003417635902,0.321265030600111,0,0.737248592058653,0.607475238488469,0.148905398568344,0.168736507575667,4,24999.9994413748,,1
0,32,118,0.148800349389623,0.173269657775486,4,0.1244765385364,0.326128375866986,20.1948179785242,-25.0288641115929,R4,1,0,1,0.148800349389623,0.173269657775486,4,0.1244765385364,0.326128375866986,0,0.74112041191847,0.586610948713708,0.148800349389623,0.173269657775486,4,24999.9994413748,,1
0,33,117,0.148695300210903,0.177802807975305,4,0.122984140607793,0.33088189329004,20.7287765322649,-23.8480698894112,R4,1,0,1,0.148695300210903,0.177802807975305,4,0.122984140607793,0.33088189329004,0,0.744794804739074,0.566810544942081,0.148695300210903,0.177802807975305,4,24999.9994413748,,1
0,34,116,0.148590251032182,0.182335958175124,4,0.121525068870493,0.335529261657281,21.2320373352128,-22.7185204254925,R4,1,0,1,0.148590251032182,0.182335958175124,4,0.121525068870493,0.335529261657281,0,0.748286495532983,0.547994677684395,0.148590251032182,0.182335958175123,4,24999.9994413748,,1
0,35,115,0.148485201853462,0.186869108374942,4,0.120098219358182,0.340073997271579,21.7069862498207,-21.6367680513058,R4,1,0,1,0.148485201853462,0.186869108374942,4,0.120098219358182,0.340073997271579,0,0.751608780490285,0.530091697025898,0.148485201853462,0.186869108374942,4,24999.9994413748,,1
0,36,114,0.148380152674741,0.191402258574761,4,0.118702536332127,0.344519462823523,22.1557613725366,-20.599646188203,R4,1,0,1,0.148380152674741,0.191402258574761,4,0.118702536332127,0.344519462823523,0,0.75477369617901,0.51303674084688,0.148380152674741,0.191402258574761,4,24999.9994413748,,1
0,37,113,0.14827510349602,0.19593540877458,4,0.117337009676055,0.348868875689128,22.5802821603801,-19.6042440367886,R4,1,0,1,0.14827510349602,0.19593540877458,4,0.117337009676055,0.348868875689128,0,0.757792165257839,0.496770949612517,0.14827510349602,0.19593540877458,4,24999.9994413748,,1
0,38,112,0.1481700543173,0.200468558974399,4,0.116000672458096,0.35312531569543,22.9822744628575,-18.6478837407265,R4,1,3.86464158260971e-16,1,0.1481700543173,0.200468558974399,4,0.116000672458096,0.35312531569543,0,0.76067412241901,0.481240787697399,0.1481700543173,0.200468558974399,4,24999.9994413748,,1
0,39,111,0.148065005138579,0.205001709174217,4,0.114692598647418,0.357291732393359,23.3632920568995,-17.7280997921707,R4,1,0,1,0.148065005138579,0.205001709174217,4,0.114692598647418,0.357291732393359,0,0.763428623621559,0.466397454754316,0.148065005138579,0.205001709174217,4,24999.9994413748,,1
0,40,110,0.147959955959859,0.209534859374036,4,0.113411900974222,0.361370951873974,23.724735193445,-16.9551989035253,R1,1,0,1,0.147959955959859,0.209534859374036,4,0.113411900974222,0.361370951873974,0,0.76606394114542,0.452196373490958,0.147959955959859,0.209534859374036,4,24999.9994413748,,1
0,41,109,0.147854906781138,0.214068009573855,4,0.112157728922714,0.365365683161168,24.0678665876076,-16.996044822995,R1,1,0,1,0.147854906781138,0.214068009573855,4,0.112157728922714,0.365365683161168,0,0.768587646568214,0.438596742528323,0.147854906781138,0.214068009573855,4,24999.9994413748,,1
0,42,108,0.147749857602417,0.218601159773674,4,0.110929266847501,0.369278524211235,24.3938252192217,-17.0355766752448,R1,1,0,1,0.147749857602417,0.218601159773674,4,0.110929266847501,0.369278524211235,0,0.771006683417855,0.425561144893594,0.147749857602417,0.218601159773674,4,24999.9994413748,,1
0,43,107,0.147644808423697,0.223134309973493,4,0.10972573220465,0.373111967547212,24.7036382559815,-17.0738523624932,R1,1,0,1,0.147644808423697,0.223134309973493,4,0.10972573220465,0.373111967547212,0,0.773327430969183,0.413055204235685,0.147644808423697,0.223134309973493,4,24999.9994413748,,1
