分组,数量,平均Δuv,中位Δuv,最小Δuv,最大Δuv,P95_Δuv
N1,300,0.00728734000107822,0.00784065881816018,0.000251553979249787,0.0123947699737606,0.0111263569475322
N2,300,0.0147147821276149,0.01399343355297,0.0104899400058656,0.0277487639014597,0.0198912991962378
N3,300,0.0182318883304783,0.0182087767209272,0.0127675194308581,0.0286313687253828,0.0241573648320156
N4,300,0.0226362895990498,0.0221037899208791,0.0187806628359189,0.0452708444390689,0.0279361909420815
N5,300,0.0251401473378374,0.0249117399224977,0.0211917760965433,0.0494489504033101,0.0292285288920104
N6,300,0.0280852497714961,0.0274394101395593,0.0219846249137096,0.0504599061773579,0.0365054229461525
整体,1800,0.0193492828612591,0.0206548526815626,0.000251553979249787,0.0504599061773579,0.0292782820469612
