Group,Label,SegmentIndex,SampleCount,MeanAbsWhiteRatioErrorBefore,MeanAbsWhiteRatioErrorAfter,MeanAbsDeltaFitError,P95AbsDeltaFitError,MaxAbsDeltaFitError,RMSE_DeltaFitError
ALL,ALL,NaN,1837,0.0173370837309993,0.0100772245081198,0.0107557150414379,0.031494318474418,0.111251389027582,0.0152728331906602
LABEL_T60,T60,NaN,928,0.0132446555060178,0.00742989209814541,0.00811722403742892,0.0234968829921152,0.0514557459475924,0.0110437237223151
LABEL_T100,T100,NaN,909,0.0215150522599132,0.0127798916989406,0.0134493560224283,0.0382757019752673,0.111251389027582,0.0186247508535287
SEGMENT_1,ALL,1,901,0.0129636366733103,0.00860145976543189,0.00998479729007716,0.0290561359157669,0.0633669427241816,0.0141066312468676
SEGMENT_2,ALL,2,778,0.0234478106314224,0.0117230163514063,0.0117230163514063,0.0342553873843377,0.111251389027582,0.0167108314808763
SEGMENT_3,ALL,3,158,0.0121872753161162,0.0103888572871375,0.0103888572871374,0.0289177928657472,0.0492916648388774,0.0142187415348662
